Gross domestic product (GDP) by state (millions of current dollars)						
Levels						
Bureau of Economic Analysis						
Mining						
						
Fips	Area	2009	2010	2011	2012	2013
00000	United States	291026	332917	409324	429656	449352
01000	Alabama	2982	3315	3404	3473	3081
02000	Alaska	14327	15546	18769	18474	17488
04000	Arizona	4687	5672	7105	7369	6717
05000	Arkansas	2249	2609	3160	2671	4019
06000	California	20279	22146	27388	29980	22839
08000	Colorado	11330	12816	15443	14819	19848
09000	Connecticut	113	154	143	207	200
10000	Delaware	1	2	(L)	(L)	(D)
11000	District of Columbia	0	0	0	0	0
12000	Florida	1278	1249	1960	2360	2478
13000	Georgia	1285	1311	1307	1397	1420
15000	Hawaii	108	88	77	93	86
16000	Idaho	809	1038	1154	727	944
17000	Illinois	2456	2753	3121	4074	2729
18000	Indiana	1394	1685	1929	2079	1318
19000	Iowa	321	328	353	486	432
20000	Kansas	1771	1952	2254	2403	2422
21000	Kentucky	5664	6681	7654	6246	6821
22000	Louisiana	20980	24281	28505	28073	23087
23000	Maine	9	9	8	12	(D)
24000	Maryland	190	371	308	317	242
25000	Massachusetts	165	145	153	174	187
26000	Michigan	1073	1228	1548	1556	1569
27000	Minnesota	953	2102	2886	2704	2701
28000	Mississippi	1678	1797	2179	2260	1828
29000	Missouri	1049	1212	1375	1640	1529
30000	Montana	1880	2164	2586	2700	2706
31000	Nebraska	159	225	322	442	386
32000	Nevada	4620	6207	8788	10113	8050
33000	New Hampshire	98	112	94	189	124
34000	New Jersey	308	240	238	320	361
35000	New Mexico	6617	7305	8482	8088	9001
36000	New York	1035	1016	987	1153	1064
37000	North Carolina	1196	1269	1279	1422	1542
38000	North Dakota	1557	2608	4336	6417	8476
39000	Ohio	3104	3067	3564	3425	3168
40000	Oklahoma	17401	20009	24038	21831	27156
41000	Oregon	347	298	321	349	351
42000	Pennsylvania	6178	8696	12027	13470	14627
44000	Rhode Island	44	30	25	40	29
45000	South Carolina	302	262	309	329	346
46000	South Dakota	152	192	214	263	229
47000	Tennessee	1173	1399	1479	1735	1673
48000	Texas	119695	134618	171128	190161	206220
49000	Utah	3425	3711	4310	4110	4451
50000	Vermont	223	233	249	253	248
51000	Virginia	2463	3331	3639	3625	2921
53000	Washington	687	768	862	860	1094
54000	West Virginia	7502	9274	10771	9674	13158
55000	Wisconsin	548	687	654	775	1058
56000	Wyoming	13165	14706	16435	14316	16919
91000	New England	652	683	673	874	(D)
92000	Mideast	7711	10324	13561	15261	(D)
93000	Great Lakes	8574	9420	10817	11910	9842
94000	Plains	5960	8620	11739	14354	16175
95000	Southeast	48751	56777	65647	63266	62372
96000	Southwest	148400	167604	210753	227450	249094
97000	Rocky Mountain	30609	34436	39928	36673	44868
98000	Far West	40368	45053	56205	59870	49907
Legend / Footnotes:						
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).						
(D) Not shown in order to avoid the disclosure of confidential information; estimates are included in higher level totals.						
(L) Less than $500,000 in nominal or real GDP by state.						
  Last updated: June 11, 2014 - advance statisticss for 2013 and revised statistics for 1997-2012.						
