Year	Region	Area	Commodity	Type	Revenue
2007	Pacific	Southern California	Other	Royalties	32787.47
2008	Alaska	Beaufort Sea	Oil & Gas	Rents	2685036.50
2008	Alaska	Beaufort Sea	Oil	Royalties	79810964.75
2008	Alaska	Chukchi Sea	Oil & Gas	Bonus	2662059483.00
2008	Alaska	Chukchi Sea	Oil & Gas	Rents	2790705.00
2008	Gulf		Gas	Royalties	-15053958.12
2008	Pacific	Southern California	Oil & Gas	Other Revenues	11750.56
2008	Pacific	Southern California	Oil	Other Royalties	-64374.81
2008	Pacific	Southern California	Oil & Gas	Other Royalties	-2474919.67
2008	Pacific	Southern California	Oil & Gas	Rents	18432.00
2008	Pacific	Southern California	Gas	Royalties	32727187.98
2008	Pacific	Southern California	NGL	Royalties	1750016.85
2008	Pacific	Southern California	Oil	Royalties	373412584.87
2008	Pacific	Southern California	Other	Royalties	209945.99
2009	Alaska	Beaufort Sea	Oil	Other Royalties	69114054.51
2009	Alaska	Beaufort Sea	Oil & Gas	Rents	2709581.50
2009	Alaska	Beaufort Sea	Oil	Royalties	-51600665.48
2009	Alaska	Chukchi Sea	Oil & Gas	Rents	4186057.50
2009	Atlantic	North Atlantic	Wind	Rents	68319.68
2009	Gulf		Gas	Royalties	-6292220.39
2009	Pacific	Southern California	Oil & Gas	Other Revenues	-60811.15
2009	Pacific	Southern California	Oil	Other Royalties	-62149.81
2009	Pacific	Southern California	Oil & Gas	Other Royalties	739315.61
2009	Pacific	Southern California	Oil & Gas	Rents	-18432.00
2009	Pacific	Southern California	Gas	Royalties	15412992.64
2009	Pacific	Southern California	NGL	Royalties	1564916.22
2009	Pacific	Southern California	Oil	Royalties	181763561.23
2009	Pacific	Southern California	Other	Royalties	9717.06
2010	Alaska	Beaufort Sea	Oil	Other Royalties	67208485.88
2010	Alaska	Beaufort Sea	Oil & Gas	Rents	3534045.50
2010	Alaska	Beaufort Sea	Oil	Royalties	-47112968.27
2010	Alaska	Chukchi Sea	Oil & Gas	Rents	5569890.00
2010	Atlantic	North Atlantic	Wind	Rents	139517.76
2010	Gulf		Oil & Gas	Other Royalties	8666.07
2010	Gulf		Gas	Royalties	-10023572.21
2010	Pacific	Southern California	Oil & Gas	Other Revenues	143208.80
2010	Pacific	Southern California	Oil	Other Royalties	-19586.58
2010	Pacific	Southern California	Oil & Gas	Other Royalties	-273622.85
2010	Pacific	Southern California	Gas	Royalties	15525394.25
2010	Pacific	Southern California	NGL	Royalties	119516.72
2010	Pacific	Southern California	Oil	Royalties	250979174.23
2010	Pacific	Southern California	Other	Royalties	17522.74
2011	Alaska	Beaufort Sea	Oil	Other Royalties	-3781962.08
2011	Alaska	Beaufort Sea	Oil & Gas	Rents	4214602.50
2011	Alaska	Beaufort Sea	Oil	Royalties	19131797.07
2011	Alaska	Chukchi Sea	Oil & Gas	Rents	57600.00
2011	Atlantic	North Atlantic	Wind	Rents	135247.84
2011	Pacific	Southern California	Oil & Gas	Other Revenues	37857.33
2011	Pacific	Southern California	Oil & Gas	Other Royalties	-48382.91
2011	Pacific	Southern California	Gas	Royalties	7623860.27
2011	Pacific	Southern California	NGL	Royalties	1173840.01
2011	Pacific	Southern California	Oil	Royalties	309265336.53
2011	Pacific	Southern California	Other	Royalties	63584.56
2012	Alaska	Beaufort Sea	Oil & Gas	Rents	5308888.00
2012	Alaska	Beaufort Sea	Oil	Royalties	11414004.94
2012	Alaska	Chukchi Sea	Oil & Gas	Rents	5056476.05
