year	naics	commodity	state	county	fips	jobs
2009	10	All	Alabama		01000	1829487
2009	10	All	Alabama	Autauga County	01001	11004
2009	10	All	Alabama	Baldwin County	01003	58948
2009	10	All	Alabama	Barbour County	01005	9462
2009	10	All	Alabama	Bibb County	01007	4037
2009	10	All	Alabama	Blount County	01009	8603
2009	10	All	Alabama	Bullock County	01011	2991
2009	10	All	Alabama	Butler County	01013	6047
2009	10	All	Alabama	Calhoun County	01015	47399
2009	10	All	Alabama	Chambers County	01017	7248
2009	10	All	Alabama	Cherokee County	01019	4870
2009	10	All	Alabama	Chilton County	01021	8324
2009	10	All	Alabama	Choctaw County	01023	3531
2009	10	All	Alabama	Clarke County	01025	8458
2009	10	All	Alabama	Clay County	01027	3781
2009	10	All	Alabama	Cleburne County	01029	2444
2009	10	All	Alabama	Coffee County	01031	14713
2009	10	All	Alabama	Colbert County	01033	21028
2009	10	All	Alabama	Conecuh County	01035	3321
2009	10	All	Alabama	Coosa County	01037	1517
2009	10	All	Alabama	Covington County	01039	12504
2009	10	All	Alabama	Crenshaw County	01041	3349
2009	10	All	Alabama	Cullman County	01043	25543
2009	10	All	Alabama	Dale County	01045	18080
2009	10	All	Alabama	Dallas County	01047	13489
2009	10	All	Alabama	DeKalb County	01049	20433
2009	10	All	Alabama	Elmore County	01051	17551
2009	10	All	Alabama	Escambia County	01053	12223
2009	10	All	Alabama	Etowah County	01055	33591
2009	10	All	Alabama	Fayette County	01057	4127
2009	10	All	Alabama	Franklin County	01059	9755
2009	10	All	Alabama	Geneva County	01061	5270
2009	10	All	Alabama	Greene County	01063	2184
2009	10	All	Alabama	Hale County	01065	2996
2009	10	All	Alabama	Henry County	01067	3437
2009	10	All	Alabama	Houston County	01069	47087
2009	10	All	Alabama	Jackson County	01071	15684
2009	10	All	Alabama	Jefferson County	01073	337663
2009	10	All	Alabama	Lamar County	01075	3168
2009	10	All	Alabama	Lauderdale County	01077	30005
2009	10	All	Alabama	Lawrence County	01079	6013
2009	10	All	Alabama	Lee County	01081	47139
2009	10	All	Alabama	Limestone County	01083	20531
2009	10	All	Alabama	Lowndes County	01085	2874
2009	10	All	Alabama	Macon County	01087	6084
2009	10	All	Alabama	Madison County	01089	178819
2009	10	All	Alabama	Marengo County	01091	6998
2009	10	All	Alabama	Marion County	01093	9594
2009	10	All	Alabama	Marshall County	01095	33815
2009	10	All	Alabama	Mobile County	01097	165897
2009	10	All	Alabama	Montgomery County	01101	131364
2009	10	All	Alabama	Morgan County	01103	45276
2009	10	All	Alabama	Perry County	01105	2264
2009	10	All	Alabama	Pickens County	01107	3838
2009	10	All	Alabama	Pike County	01109	13629
2009	10	All	Alabama	Randolph County	01111	4856
2009	10	All	Alabama	Russell County	01113	12672
2009	10	All	Alabama	St. Clair County	01115	15671
2009	10	All	Alabama	Shelby County	01117	71023
2009	10	All	Alabama	Sumter County	01119	3349
2009	10	All	Alabama	Talladega County	01121	26107
2009	10	All	Alabama	Tallapoosa County	01123	12849
2009	10	All	Alabama	Tuscaloosa County	01125	82002
2009	10	All	Alabama	Walker County	01127	18376
2009	10	All	Alabama	Washington County	01129	3639
2009	10	All	Alabama	Wilcox County	01131	2600
2009	10	All	Alabama	Winston County	01133	6916
2009	10	All	Alaska		02000	313802
