Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Coal Supply Region	Production (short tons)	Average Employees	Labor Hours
2013	103381	Tacoa Highwall Miner	Alabama	Bibb	Active, men working, not producing	Surface	Indepedent Producer Operator	Mine only	Jesse Creek Mining, Llc	1615 Kent Dairy Rd, Alabaster, AL 35007	 	Appalachia Southern	56,004	10	22,392
2013	103404	Reid School Mine	Alabama	Blount	Permanently abandoned	Surface	Indepedent Producer Operator	Mine only	Taft Coal Sales & Associates,	3000 Riverchase Galleria Ste 1, Birmingham, AL 35244	UNIT	Appalachia Southern	28,807	18	28,447
2013	100759	North River #1 Underground Min	Alabama	Fayette	Active, men working, not producing	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Jim Walter Resources Inc	3114 County Rd 63 S, Berry, AL 35546	UNIT	Appalachia Southern	1,440,115	183	474,784
2013	103246	Bear Creek	Alabama	Franklin	Active	Surface	Indepedent Producer Operator	Mine only	Birmingham Coal & Coke Co., In	912 Edenton Street, Birmingham, AL 35242	 	Appalachia Southern	87,587	13	29,193
2013	103451	Knight Mine	Alabama	Franklin	Active	Surface	Indepedent Producer Operator	Mine only	Birmingham Coal & Coke Co., In	P.O. Box 354, Lynn, AL 35242	 	Appalachia Southern	147,499	27	46,393
2013	103433	Crane Central Mine	Alabama	Jackson	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	Alabama Carbon Llc	5957 Windswept Blvd, Wise, VA 24293	 	Appalachia Southern	69,339	27	47,195
2013	100329	Concord Mine	Alabama	Jefferson	Active	Underground	Operating Subsidiary	Preparation Plant	Oak Grove Resources Llc	8360 Taylors Ferry Rd, Hueytown, AL 35023	UNIT	Appalachia Southern	0	59	144,002
2013	100851	Oak Grove Mine	Alabama	Jefferson	Active	Underground	Operating Subsidiary	Mine only	Oak Grove Resources Llc	8360 Taylors Ferry Rd, Hueytown, AL 35023	UNIT	Appalachia Southern	2,269,014	447	1,001,809
2013	102901	Shoal Creek Mine	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	P.O. Box 1549, Jasper, AL 35501	United Mine Workers of America	Appalachia Southern	0	5	12,396
2013	102901	Shoal Creek Mine	Alabama	Jefferson	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	P.O. Box 1549, Jasper, AL 35501	United Mine Workers of America	Appalachia Southern	1,453,024	571	1,237,415
2013	103180	Sloan Mountain Mine	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine only	M S & R Equipment Company, Inc	2600 Warrior Jasper Road, Warrior, AL 35180	 	Appalachia Southern	327,780	84	196,963
2013	103182	Fishtrap	Alabama	Jefferson	Active	Surface	Operating Subsidiary	Mine only	C&h Mining	3699 Industrial Parkway, Jasper, AL 35501	 	Appalachia Southern	175,058	30	87,314
2013	103285	Narley Mine	Alabama	Jefferson	Active	Surface	Operating Subsidiary	Mine only	Best Coal Inc	2600 Warrior Jasper Rd, Warrior, AL 35180	 	Appalachia Southern	154,861	39	90,584
2013	103332	Powhatan Mine	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine only	Rac Mining Llc	P.O. Box 354, Lynn, AL 35575	 	Appalachia Southern	140,521	27	61,394
2013	103375	Johnson Mine	Alabama	Jefferson	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	Cahaba Resources Llc	P.O. Box 122, Vance, AL 35490	 	Appalachia Southern	580	2	1,900
2013	103419	Maxine-Pratt Mine	Alabama	Jefferson	Active	Underground	Indepedent Producer Operator	Mine only	Warrior Investments Company In	218 Highway 195, Jasper, AL 35503	 	Appalachia Southern	125,824	43	107,469
2013	103432	Skelton Creek	Alabama	Jefferson	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	Kennedy Brothers Construction,	17160 Lock 17 Rd, Brookwood, AL 35444	 	Appalachia Southern	8,252	3	220
