Historic Coal Production Data: 2011															
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration															
															
Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Basin	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Production (short tons)	Average Employees	Labor Hours
2011	103335	Thompson South Mine	Alabama	Bibb	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Thompson South 1 Llc	"4405 Canton Hwy, Cumming, GA 30040"		"6,159"	5	"9,204"
2011	103381	Tacoa Highwall Miner	Alabama	Bibb	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Tacoa Minerals,llc"	"1669 Mission Hills Road, Alabaster, AL 35007"		"168,399"	23	"63,849"
2011	100787	Rosa Mine	Alabama	Blount	Appalachia Southern	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	Mcoal Corporation	"59950 Us Hwy 231, Oneonta, AL 35121"		"37,069"	25	"46,151"
2011	103404	Reid School Mine	Alabama	Blount	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Taft Coal Sales & Associates,"	"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244"		"245,081"	36	"119,754"
2011	103407	Trafford Pit	Alabama	Blount	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	"Travis Creek Energy, Llc"	"5269 Deans Ferry Road, Trafford, AL 35172"		"5,835"	2	"1,787"
2011	100759	North River #1 Underground Min	Alabama	Fayette	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Jim Walter Resources Inc	"3000 Riverchase Galleria, Birmingham, AL 35244"	United Mine Workers of America	"2,707,383"	379	"882,440"
2011	103246	Bear Creek	Alabama	Franklin	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Birmingham Coal & Coke Co., In"	"912 Edenton Street, Birmingham, AL 35242"		"81,012"	15	"39,536"
2011	103374	Meredyth Mine	Alabama	Franklin	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"National Coal Of Alabama, Inc"	"1810 Birmingham Ave, Suite 101, Jasper, AL 35501"		"116,900"	24	"58,985"
2011	102933	Mine No 2	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Alabama Carbon, Llc"	"440 County Road 464, Flat Rock, AL 35966"		"18,752"	29	"64,237"
2011	103301	Pit Number 2	Alabama	Jackson	Appalachia Southern	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	D & E Mining Llc	"3579 Al Hwy. 117, Flat Rock, AL 35966"		"9,829"	10	"5,658"
2011	100329	Concord Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Preparation Plant	Oak Grove Resources Llc	"8800 Oak Grove Mine Road, Adger, AL 35006"	UNIT	0	31	"91,519"
2011	100851	Oak Grove Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Mine only	Oak Grove Resources Llc	"8360 Taylors Ferry Rd, Hueytown, AL 35023"	UNIT	"526,267"	484	"1,173,014"
2011	102354	Lindbergh	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	C & H Mining Company Inc	"3699 Industrial Parkway, Jasper, AL 35502"		"258,305"	43	"112,788"
2011	102901	Shoal Creek Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	0	13	"27,568"
2011	102901	Shoal Creek Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	"1,760,870"	618	"1,406,905"
2011	102951	Majestic Mine No. 2	Alabama	Jefferson	Appalachia Southern	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	R J R Mining Company Inc	"109 2nd Avenue Ne, Cullman, AL 35055"		"90,599"	9	"21,849"
2011	103180	Sloan Mountain Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"M S & R Equipment Company, Inc"	"2600 Warrior Jasper Road, Warrior, AL 35180"		"284,040"	64	"137,496"
2011	103182	Fishtrap	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	C&h Mining	"3699 Industrial Parkway, Jasper, AL 35501"		"118,423"	34	"88,733"
2011	103278	"Covol Fuels Alabama No.3, Llc"	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	"Covol Fuels Alabama No.3, Llc"	"P.O. Box 60, Adger, AL 35006"		0	9	"22,768"
2011	103285	Narley Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Best Coal Inc	"2600 Warrior Jasper Rd, Warrior, AL 35180"		"110,361"	25	"57,845"
2011	103332	Powhatan Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Rac Mining Llc	"P.O. Box 415, Dora, AL 35062"		"98,530"	33	"67,023"
2011	103375	Johnson Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Cahaba Resources Llc	"P.O. Box 122, Vance, AL 35490"		"91,237"	17	"43,152"
2011	103419	Maxine Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine only	Warrior Investments Company In	"218 Highway 195, Jasper, AL 35503"		"51,558"	24	"59,865"
2011	103432	Skelton Creek	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"C. Clay, Inc."	"P.O. Box 314, Dora, AL 35062"		"4,439"	9	"5,225"
2011	103437	Black Warrior Mine No 1	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Black Warrior Minerals, Inc."	"P.O. Box 1190, Sumiton, AL 35148"		"44,804"	16	"25,805"
2011	103393	Buttahatchee Mine No 1	Alabama	Marion	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"National Coal Of Alabama, Inc"	"1810 Birmingham Ave, Suite 101, Jasper, AL 35501"		"119,240"	21	"47,030"
