Historic Coal Production Data: 2012
based on the U.S. Energy Information Administration and the U.S. Mine Safety and Health Administration

Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Production (short tons)	Average Employees	Labor Hours
2012	103335	Thompson South Mine	Alabama	Bibb	Active	Surface	Indepedent Producer Operator	Mine only	Thompson South 1 Llc	"P.O. Box 1748, Dawsonville, GA 30534"	-	"2,732"	7	"15,277"
2012	103381	Tacoa Highwall Miner	Alabama	Bibb	Active	Surface	Indepedent Producer Operator	Mine only	"Jesse Creek Mining,llc"	"1669 Mission Hills Road, Alabaster, AL 35007"	-	"116,534"	24	"55,600"
2012	100787	Rosa Mine	Alabama	Blount	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Mcoal Corporation	"59950 Us Hwy 231, Oneonta, AL 35121"	-	"21,078"	14	"29,672"
2012	103404	Reid School Mine	Alabama	Blount	Active	Surface	Indepedent Producer Operator	Mine only	Taft Coal Sales & As	"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244"	-	"215,214"	43	"126,298"
2012	100759	North River #1 Underground Min	Alabama	Fayette	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Jim Walter Resources Inc	"3000 Riverchase Galleria, Birmingham, AL 35244"	United Mine Workers of America	"2,249,233"	356	"819,347"
2012	103246	Bear Creek	Alabama	Franklin	Active	Surface	Indepedent Producer Operator	Mine only	"Birmingham Coal & Coke Co., In"	"912 Edenton Street, Birmingham, AL 35242"	-	"128,927"	19	"37,658"
2012	103374	Meredyth Mine	Alabama	Franklin	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	"National Coal Of Alabama, Inc"	"1810 Birmingham Ave, Suite 101, Jasper, AL 35501"	-	"8,179"	7	"8,250"
2012	102933	Mine No 2	Alabama	Jackson	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	"Alabama Carbon, Llc"	"440 County Road 464, Flat Rock, AL 35966"	-	"47,991"	32	"54,381"
2012	103301	Pit Number 2	Alabama	Jackson	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	D & E Mining Llc	"P.O. Box 10, Flat Rock, AL 35966"	-	"20,723"	58	"24,541"
2012	103433	Crane Central Mine	Alabama	Jackson	Active	Surface	Indepedent Producer Operator	Mine only	Alabama Carbon Llc	"440 County Road 464, Flat Rock, AL 35966"	-	"83,634"	45	"48,387"
2012	100329	Concord Mine	Alabama	Jefferson	Active	Underground	Operating Subsidiary	Preparation Plant	Oak Grove Resources Llc	"8360 Taylors Ferry Rd, Hueytown, AL 35023"		0	63	"163,039"
2012	100851	Oak Grove Mine	Alabama	Jefferson	Active	Underground	Operating Subsidiary	Mine only	Oak Grove Resources Llc	"8360 Taylors Ferry Rd, Hueytown, AL 35023"		"2,206,797"	455	"1,001,584"
2012	102354	Lindbergh	Alabama	Jefferson	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	C & H Mining Company Inc	"3699 Industrial Parkway, Jasper, AL 35502"	-	"32,657"	16	"19,590"
2012	102901	Shoal Creek Mine	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	0	70	"32,136"
2012	102901	Shoal Creek Mine	Alabama	Jefferson	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	"1,286,573"	592	"1,447,377"
2012	102951	Majestic Mine No. 2	Alabama	Jefferson	Permanently abandoned	Surface	Indepedent Producer Operator	Mine only	R J R Mining Company Inc	"109 2nd Avenue Ne, Cullman, AL 35055"	-	"45,343"	8	"13,007"
2012	103180	Sloan Mountain Mine	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine only	"M S & R Equipment Company, Inc"	"2600 Warrior Jasper Road, Warrior, AL 35180"	-	"306,174"	78	"184,028"
2012	103182	Fishtrap	Alabama	Jefferson	Active	Surface	Operating Subsidiary	Mine only	C&h Mining	"3699 Industrial Parkway, Jasper, AL 35501"	-	"272,581"	49	"141,751"
2012	103285	Narley Mine	Alabama	Jefferson	Active	Surface	Operating Subsidiary	Mine only	Best Coal Inc	"2600 Warrior Jasper Rd, Warrior, AL 35180"	-	"152,518"	40	"100,762"
2012	103332	Powhatan Mine	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine only	Rac Mining Llc	"P.O. Box 354, Lynn, AL 35575"	-	"105,406"	33	"60,339"
2012	103375	Johnson Mine	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine only	Cahaba Resources Llc	"P.O. Box 122, Vance, AL 35490"	-	"58,022"	14	"35,740"
2012	103419	Maxine-Pratt Mine	Alabama	Jefferson	Active	Underground	Indepedent Producer Operator	Mine only	Warrior Investments Company In	"218 Highway 195, Jasper, AL 35503"	-	"95,909"	36	"88,560"
2012	103432	Skelton Creek	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine only	"Kennedy Brothers Construction,"	"17160 Lock 17 Rd, Brookwood, AL 35444"	-	"15,676"	8	"12,970"
2012	103437	Black Warrior Mine No 1	Alabama	Jefferson	Active	Surface	Indepedent Producer Operator	Mine only	"Black Warrior Minerals, Inc."	"P.O. Box 1190, Sumiton, AL 35148"	-	"117,128"	24	"62,776"
