Historic Coal Production Data: 2009
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration

Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Basin	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Production (short tons)	Average Employees	Labor Hours
2009	103117	"Mine #2, #3, #4"	Alabama	Cullman	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine only	Twin Pines Coal Company Inc	"1874 County Road 15, Bremen, AL 35033"		"11,355"	14	"5,265"
2009	103361	Cold Springs West Mine	Alabama	Cullman	Appalachia Southern	Temporarily closed	Surface	Operating Subsidiary	Mine only	Twin Pines Coal Company	"74 Industrial Parkway, Jasper, AL 35502"		"110,505"	28	"33,027"
2009	100759	North River #1 Underground Min	Alabama	Fayette	Appalachia Southern	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Chevron Mining Inc	"3114 County Road 63 S, Berry, AL 35546"	United Mine Workers of America	"2,706,161"	369	"811,953"
2009	103246	Bear Creek	Alabama	Franklin	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Birmingham Coal & Coke Co., In"	"912 Edenton Street, Birmingham, AL 35242"		"95,269"	20	"40,246"
2009	103374	Moss-Meredyth	Alabama	Franklin	Appalachia Southern	Active	Surface	Contractor	Mine only	Birmingham Coal & Coke Co Inc	"1401 Doug Baker Blvd, Suite 10, Birmingham, AL 35242"		"62,874"	16	"25,991"
2009	102933	Mine No 2	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Gtm Energy Partners, Llc"	"440 County Road 464, Flat Rock, AL 35966"		"35,563"	9	"13,005"
2009	103206	Mine No 1	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Gtm Energy Partners Llc	"440 Co. Road 464, Flat Rock, AL 35966"		"75,332"	21	"38,382"
2009	103231	Glade Preparation Plant	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Preparation Plant	"Gtm Energy Partners, Llc"	"440 Co. Road 464, Flat Rock, AL 35966"		0	13	"24,721"
2009	103384	Mine No. 3	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Gtm Energy Partners, Llc"	"442 County Road 464, Flat Rock, AL 35966"		"73,622"	19	"31,880"
2009	100329	Concord Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Preparation Plant	Oak Grove Resources Llc	"8800 Oak Grove Mine Road, Adger, AL 35006"	United Mine Workers of America	0	38	"72,411"
