State	rank	HS6	Abbreviation	val2011	val2012	val2013	val2014	share11	share12	share13	share14	change
Alabama	0	0	World	17927.68	19577.45	19291.04	19517.56	1.2093	1.2666	1.2213	1.2024	1.17
Alabama	0	25	Top 25	10301.72	11545.5	11786.45	12299.02	57.4626	58.9735	61.098	63.0152	4.35
Alabama	1	870323	PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV	1191.16	1049.92	1644.67	2726.41	6.6443	5.3629	8.5256	13.969	65.77
Alabama	2	870324	PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC	1775.64	2543.86	2612.7	1907.33	9.9045	12.9939	13.5436	9.7724	-27
Alabama	3	870333	PASS VEH COM-IG INT COM ENG > 2500 CC	1516.47	1742.54	1749.27	1620.13	8.4588	8.9008	9.0678	8.3009	-7.38
Alabama	4	270112	BITUMINOUS COAL, NOT AGGLOMERATED	2195.16	1671.93	1238.48	1122.26	12.2445	8.5401	6.42	5.75	-9.38
Alabama	5	390740	POLYCARBONATES, PR FMS	549.87	575.9	464.94	600.12	3.0671	2.9417	2.4101	3.0747	29.07
Alabama	6	880000	CIVILIAN AIRCRAFT, ENGINES, AND PARTS	445.93	489.23	589.55	595.27	2.4874	2.499	3.0561	3.0499	0.97
Alabama	7	470321	CHEMICAL WOODPULP, SODA ETC. N DIS S BL & BL	371.28	357.45	322.23	384.5	2.071	1.8258	1.6703	1.97	19.33
Alabama	8	870332	PASS VEH COM-IG INT COM ENG > 1500 NOV 2500 C	168.28	521.45	449.2	382.87	0.9386	2.6635	2.3286	1.9617	-14.77
Alabama	9	840734	SPARK-IGNTN RECPRCTING PISTON ENGINE ETC > 10	18.95	282.1	359.36	346.81	0.1057	1.4409	1.8628	1.7769	-3.49
Alabama	10	382490	PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY,	185.31	372.56	440.07	282.57	1.0337	1.903	2.2812	1.4478	-35.79
