States/Territories (alpha by Postal Code)	 AK 	 AL 	 AR 	 AS 	 AZ 	 CA 	 CO 	 CT 	 DC 	 DE 	 FL 	 FSM 	 GA 	 GU 	 HI 	 IA 	 ID 	 IL 	 IN 	 KS 	 KY 	 LA 	 MAR  	 MA 	 MD 	 ME 	 MI 	 MN 	 MO 	 MP 	 MS 	 MT 	 NC 	 ND 	 NE 	 NH 	 NJ 	 NM 	 NV 	 NY 	 OH 	 OK 	 OR 	 PW 	 PA 	 PR 	 RI 	 SC 	 SD 	 TN 	 TX 	 UT 	 VA 	 VI 	 VT 	 WA 	 WI 	 WV 	 WY 	 Total 	Notes					
States/Territories (alpha by State)	 Alaska 	 Alabama 	 Arkansas 	 American Samoa 	 Arizona 	 California 	 Colorado 	 Connecticut 	 District of Columbia 	 Delaware 	 Florida 	Federated States of Micronesia	 Georgia 	 Guam 	 Hawaii 	 Iowa 	 Idaho 	 Illinois 	 Indiana 	 Kansas 	 Kentucky 	 Louisiana 	 Marshalls 	 Massachusetts 	 Maryland 	 Maine 	 Michigan 	 Minnesota 	 Missouri 	 Northern Mariana Islands 	 Mississippi 	 Montana 	 North Carolina 	 North Dakota 	 Nebraska 	 New Hampshire 	 New Jersey 	 New Mexico 	 Nevada 	 New York 	 Ohio 	 Oklahoma 	 Oregon 	 Palau 	 Pennsylvania 	 Puerto Rico 	 Rhode Island 	 South Carolina 	 South Dakota 	 Tennessee 	 Texas 	 Utah 	 Virginia 	 Virgin Islands 	 Vermont 	 Washington 	 Wisconsin 	 West Virginia 	 Wyoming 							
																																																																		
2011 HPF to States	" $1,000,189.00 "	" $813,901.00 "	" $745,913.00 "	" $395,498.00 "	" $847,697.00 "	" $1,472,042.00 "	" $874,918.00 "	" $727,946.00 "	" $522,078.00 "	" $524,919.00 "	" $1,018,662.00 "	" $407,613.00 "	" $900,875.00 "	" $408,109.00 "	" $570,695.00 "	" $837,756.00 "	" $724,925.00 "	" $1,128,609.00 "	" $905,343.00 "	" $831,412.00 "	" $805,168.00 "	" $819,540.00 "	" $236,231.00 "	" $906,334.00 "	" $789,195.00 "	" $702,205.00 "	" $1,098,719.00 "	" $930,598.00 "	" $924,032.00 "	" $409,784.00 "	" $736,523.00 "	" $777,164.00 "	" $915,083.00 "	" $674,835.00 "	" $777,565.00 "	" $615,458.00 "	" $913,633.00 "	" $779,814.00 "	" $738,601.00 "	" $1,341,471.00 "	" $1,091,180.00 "	" $821,211.00 "	" $855,394.00 "	" $236,231.00 "	" $1,164,666.00 "	" $639,455.00 "	" $574,601.00 "	" $752,638.00 "	" $697,871.00 "	" $840,499.00 "	" $1,315,806.00 "	" $764,589.00 "	" $884,903.00 "	" $413,985.00 "	" $569,802.00 "	" $912,110.00 "	" $938,794.00 "	" $699,799.00 "	" $682,413.00 "	" $46,407,000.00 "						
2011 HPF to THPOs rnd 1		" $24,717.00 "	" $218,606.00 "			" $531,763.00 "	" $33,598.00 "	" $25,622.00 "			" $27,454.00 "						" $61,041.00 "					" $49,515.00 "		" $24,928.00 "		" $59,749.00 "	" $133,667.00 "	" $183,854.00 "				" $172,360.00 "	" $28,945.00 "	" $101,961.00 "	" $54,669.00 "			" $154,822.00 "	" $26,247.00 "	" $56,359.00 "		" $254,652.00 "	" $89,754.00 "				" $25,733.00 "	" $25,355.00 "	" $164,986.00 "							" $288,729.00 "	" $227,982.00 "		" $36,555.00 "	" $3,083,623.00 "						
2012 HPF to THPOs rnd 2		" $30,566.00 "	" $265,282.00 "			" $750,691.00 "	" $40,909.00 "	" $31,620.00 "			" $33,754.00 "						" $74,650.00 "					" $61,228.00 "		" $30,811.00 "		" $73,146.00 "	" $164,574.00 "	" $224,805.00 "				" $292,043.00 "	" $35,492.00 "	" $124,090.00 "	" $67,230.00 "			" $254,717.00 "	" $89,885.00 "	" $69,200.00 "		" $373,804.00 "	" $229,444.00 "				" $31,749.00 "	" $31,310.00 "	" $329,383.00 "							" $354,069.00 "	" $279,763.00 "		" $44,355.00 "	" $4,388,570.00 "						
2011 Tribal project grants	" $153,291.00 "					" $32,916.00 "	" $39,960.00 "								" $60,000.00 "		" $100,000.00 "									" $58,965.00 "		" $29,939.00 "				" $39,378.00 "						" $37,047.00 "				" $79,742.00 "														" $38,410.00 "	" $71,812.00 "			" $741,460.00 "						
Total Dollars in HP grants as of 9/30/11	" $1,153,480.00 "	" $869,184.00 "	" $1,229,801.00 "	" $395,498.00 "	" $847,697.00 "	" $2,787,412.00 "	" $989,385.00 "	" $785,188.00 "	" $522,078.00 "	" $524,919.00 "	" $1,079,870.00 "	" $407,613.00 "	" $900,875.00 "	" $408,109.00 "	" $630,695.00 "	" $837,756.00 "	" $960,616.00 "	" $1,128,609.00 "	" $905,343.00 "	" $831,412.00 "	" $805,168.00 "	" $930,283.00 "	" $236,231.00 "	" $962,073.00 "	" $789,195.00 "	" $894,065.00 "	" $1,396,960.00 "	" $1,369,196.00 "	" $924,032.00 "	" $409,784.00 "	" $736,523.00 "	" $1,280,945.00 "	" $979,520.00 "	" $900,886.00 "	" $899,464.00 "	" $615,458.00 "	" $913,633.00 "	" $1,226,400.00 "	" $854,733.00 "	" $1,467,030.00 "	" $1,091,180.00 "	" $1,529,409.00 "	" $1,174,592.00 "	" $236,231.00 "	" $1,164,666.00 "	" $639,455.00 "	" $632,083.00 "	" $809,303.00 "	" $1,192,240.00 "	" $840,499.00 "	" $1,315,806.00 "	" $764,589.00 "	" $884,903.00 "	" $413,985.00 "	" $569,802.00 "	" $1,593,318.00 "	" $1,518,351.00 "	" $699,799.00 "	" $763,323.00 "	" $54,620,653.00 "	"$229,632 in FY 2010 HPF to Tribes was recaptured and added to 2011 Tribal Project Grants"					
																																																																		
2012 HPF to States	" $1,012,985.00 "	" $822,991.00 "	" $753,650.00 "	" $396,261.00 "	" $857,460.00 "	" $1,494,229.00 "	" $885,222.00 "	" $735,325.00 "	" $525,361.00 "	" $528,258.00 "	" $1,031,826.00 "	" $412,161.00 "	" $911,695.00 "	" $409,123.00 "	" $574,945.00 "	" $847,320.00 "	" $732,243.00 "	" $1,143,960.00 "	" $916,252.00 "	" $840,849.00 "	" $814,083.00 "	" $828,743.00 "	" $238,866.00 "	" $917,262.00 "	" $797,793.00 "	" $709,070.00 "	" $1,113,476.00 "	" $942,010.00 "	" $935,314.00 "	" $410,831.00 "	" $744,073.00 "	" $785,522.00 "	" $926,187.00 "	" $681,157.00 "	" $785,932.00 "	" $620,598.00 "	" $924,707.00 "	" $788,226.00 "	" $746,194.00 "	" $1,361,060.00 "	" $1,105,786.00 "	" $830,447.00 "	" $865,309.00 "	" $238,866.00 "	" $1,180,736.00 "	" $645,071.00 "	" $578,929.00 "	" $760,507.00 "	" $704,651.00 "	" $850,118.00 "	" $1,334,882.00 "	" $772,697.00 "	" $895,405.00 "	" $415,115.00 "	" $574,034.00 "	" $923,154.00 "	" $950,369.00 "	" $706,619.00 "	" $688,885.00 "	" $46,924,800.00 "						
2012 HPF to THPOs rnd 1	" $53,514.00 "	" $55,135.00 "			" $488,919.00 "	" $1,408,177.00 "	" $75,107.00 "	" $113,003.00 "			" $61,290.00 "						" $136,373.00 "			" $60,562.00 "		" $166,161.00 "		" $55,608.00 "		" $133,467.00 "	" $234,200.00 "	" $531,911.00 "				" $544,060.00 "	" $64,644.00 "	" $227,948.00 "	" $258,430.00 "			" $411,679.00 "	" $116,052.00 "	" $125,845.00 "		" $684,573.00 "	" $320,120.00 "				" $57,419.00 "	" $56,570.00 "	" $497,507.00 "							" $701,739.00 "	" $569,683.00 "		" $165,702.00 "	" $8,375,398.00 "						
