Year	State	County	FIPS	Commodity	Product	Volume
2013	Withheld	Withheld	Withheld		Zinc Concentrate (tons)	0.61
2013	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	1
2008	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	7
2009	Withheld	Withheld	Withheld		Gold Products (ounces)	7
2011	Withheld	Withheld	Withheld		Gold Products (ounces)	10
2011	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	23
2007	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	40
2005	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	43
2006	Withheld	Withheld	Withheld		Zinc Concentrate (tons)	47
2009	Withheld	Withheld	Withheld		Zinc Concentrate (tons)	68
2008	Withheld	Withheld	Withheld		Zinc Concentrate (tons)	72
2006	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	74
2011	Withheld	Withheld	Withheld		Zinc Concentrate (tons)	75
2014	Withheld	Withheld	Withheld		Zinc Concentrate (tons)	115.3
2010	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	122
2007	Withheld	Withheld	Withheld		Zinc Concentrate (tons)	128
2013	Withheld	Withheld	Withheld		Copper Concentrate (tons)	129
2009	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	217
2008	Withheld	Withheld	Withheld		Copper Concentrate (tons)	222
2014	Withheld	Withheld	Withheld		Copper Concentrate (tons)	278
2010	Withheld	Withheld	Withheld		Lead Concentrate (tons)	518
2006	Withheld	Withheld	Withheld		Copper Concentrate (tons)	519
2011	Withheld	Withheld	Withheld		Copper Concentrate (tons)	729
2005	Withheld	Withheld	Withheld		Copper Concentrate (tons)	749
2013	Withheld	Withheld	Withheld		Lead Concentrate (tons)	828.53
2014	Withheld	Withheld	Withheld		Quartz Crystal (tickets/pounds)	960
2009	Withheld	Withheld	Withheld		Copper Concentrate (tons)	977
2014	Withheld	Withheld	Withheld		Lead Concentrate (tons)	987.3
2008	Withheld	Withheld	Withheld		Lead Concentrate (tons)	988
2010	Withheld	Withheld	Withheld		Quartz Crystal (tickets/pounds)	1000
2010	Withheld	Withheld	Withheld		Copper Concentrate (tons)	1176
2006	Withheld	Withheld	Withheld		Lead Concentrate (tons)	1233
2012	Withheld	Withheld	Withheld		Copper Concentrate (tons)	1509.67
2011	Withheld	Withheld	Withheld		Lead Concentrate (tons)	1562
2009	Withheld	Withheld	Withheld		Quartz Crystal (tickets/pounds)	1595
2007	Withheld	Withheld	Withheld		Lead Concentrate (tons)	1620
2007	Withheld	Withheld	Withheld		Copper Concentrate (tons)	1702
2009	Withheld	Withheld	Withheld		Lead Concentrate (tons)	2053
2008	Withheld	Withheld	Withheld		Other Coal Products (tons)	2232
2012	Withheld	Withheld	Withheld		Lead Concentrate (tons)	2470
2009	Withheld	Withheld	Withheld		Other Coal Products (tons)	6060
2009	Withheld	Withheld	Withheld		Clay (tons)	7021
2006	Withheld	Withheld	Withheld		Other Coal Products (tons)	7056
2012	Withheld	Withheld	Withheld		Other Coal Products (tons)	7316
2010	Withheld	Withheld	Withheld		Other Coal Products (tons)	8100
2005	Withheld	Withheld	Withheld		Other Potassium Products (tons)	8213
2011	Withheld	Withheld	Withheld		Other Coal Products (tons)	8496
2013	Withheld	Withheld	Withheld		Other Coal Products (tons)	10666
2008	Withheld	Withheld	Withheld		Quartz Crystal (tickets/pounds)	11300
2006	Withheld	Withheld	Withheld		Potash (tons)	14913
2010	Withheld	Withheld	Withheld		Clay (tons)	15627
