year	naics	commodity	state	county	fips	jobs	pay
2011	10	All	Alabama		01000	1813497	41186
2011	10	All	Alabama	Autauga County	01001	10627	32404
2011	10	All	Alabama	Baldwin County	01003	59581	31341
2011	10	All	Alabama	Barbour County	01005	9044	31361
2011	10	All	Alabama	Bibb County	01007	4015	33695
2011	10	All	Alabama	Blount County	01009	8128	29724
2011	10	All	Alabama	Bullock County	01011	2904	30457
2011	10	All	Alabama	Butler County	01013	6423	29552
2011	10	All	Alabama	Calhoun County	01015	46124	37462
2011	10	All	Alabama	Chambers County	01017	7895	31039
2011	10	All	Alabama	Cherokee County	01019	4836	29775
2011	10	All	Alabama	Chilton County	01021	8310	30977
2011	10	All	Alabama	Choctaw County	01023	3452	44921
2011	10	All	Alabama	Clarke County	01025	8053	34546
2011	10	All	Alabama	Clay County	01027	3594	28735
2011	10	All	Alabama	Cleburne County	01029	2327	34697
2011	10	All	Alabama	Coffee County	01031	14441	30031
2011	10	All	Alabama	Colbert County	01033	21551	39728
2011	10	All	Alabama	Conecuh County	01035	3198	31653
2011	10	All	Alabama	Coosa County	01037	1332	33316
2011	10	All	Alabama	Covington County	01039	12394	31798
2011	10	All	Alabama	Crenshaw County	01041	3632	31014
2011	10	All	Alabama	Cullman County	01043	25050	33336
2011	10	All	Alabama	Dale County	01045	18251	48082
2011	10	All	Alabama	Dallas County	01047	13280	32782
2011	10	All	Alabama	DeKalb County	01049	19910	30846
2011	10	All	Alabama	Elmore County	01051	17820	31928
2011	10	All	Alabama	Escambia County	01053	12340	34190
2011	10	All	Alabama	Etowah County	01055	34119	33441
2011	10	All	Alabama	Fayette County	01057	3896	28284
2011	10	All	Alabama	Franklin County	01059	10192	30427
2011	10	All	Alabama	Geneva County	01061	4990	28379
2011	10	All	Alabama	Greene County	01063	1820	33423
2011	10	All	Alabama	Hale County	01065	2921	31104
2011	10	All	Alabama	Henry County	01067	3249	34425
2011	10	All	Alabama	Houston County	01069	46496	35682
2011	10	All	Alabama	Jackson County	01071	15870	32564
2011	10	All	Alabama	Jefferson County	01073	330787	47949
2011	10	All	Alabama	Lamar County	01075	3250	32910
2011	10	All	Alabama	Lauderdale County	01077	29847	29981
2011	10	All	Alabama	Lawrence County	01079	5859	41078
2011	10	All	Alabama	Lee County	01081	48330	33752
2011	10	All	Alabama	Limestone County	01083	20475	41110
2011	10	All	Alabama	Lowndes County	01085	2617	39265
2011	10	All	Alabama	Macon County	01087	4858	38308
2011	10	All	Alabama	Madison County	01089	177857	53147
2011	10	All	Alabama	Marengo County	01091	6732	33972
2011	10	All	Alabama	Marion County	01093	9214	31484
2011	10	All	Alabama	Marshall County	01095	33278	31044
2011	10	All	Alabama	Mobile County	01097	165059	41998
2011	10	All	Alabama	Montgomery County	01101	127364	42050
2011	10	All	Alabama	Morgan County	01103	45673	38758
2011	10	All	Alabama	Perry County	01105	2183	30422
2011	10	All	Alabama	Pickens County	01107	3641	31456
2011	10	All	Alabama	Pike County	01109	13488	35329
2011	10	All	Alabama	Randolph County	01111	4364	29590
2011	10	All	Alabama	Russell County	01113	12751	32945
2011	10	All	Alabama	St. Clair County	01115	16210	32442
2011	10	All	Alabama	Shelby County	01117	71175	44066
2011	10	All	Alabama	Sumter County	01119	3119	32867
2011	10	All	Alabama	Talladega County	01121	26421	38945
2011	10	All	Alabama	Tallapoosa County	01123	12089	31390
2011	10	All	Alabama	Tuscaloosa County	01125	83240	41304
2011	10	All	Alabama	Walker County	01127	18042	33310
2011	10	All	Alabama	Washington County	01129	3484	52279
2011	10	All	Alabama	Wilcox County	01131	2521	39086
2011	10	All	Alabama	Winston County	01133	6973	28672
2011	10	All	Alaska		02000	322084	49383
2011	10	All	Alaska	Aleutian East Borough	02013	1959	33468
2011	10	All	Alaska	Aleutian West Census Area	02016	3767	42378
2011	10	All	Alaska	Anchorage Borough	02020	150741	51718
2011	10	All	Alaska	Bethel Census Area	02050	6714	38214
2011	10	All	Alaska	Bristol Bay Borough	02060	1405	41687
2011	10	All	Alaska	Denali Borough	02068	1834	45616
2011	10	All	Alaska	Dillingham Census Area	02070	2554	38847
2011	10	All	Alaska	Fairbanks North Star Borough	02090	37485	47538
2011	10	All	Alaska	Haines Borough	02100	1006	32869
2011	10	All	Alaska	Hoonah-Angoon Census Area	02105	686	31600
2011	10	All	Alaska	Juneau Borough	02110	17612	45509
2011	10	All	Alaska	Kenai Peninsula Borough	02122	19019	42781
2011	10	All	Alaska	Ketchikan Gateway Borough	02130	7149	41698
2011	10	All	Alaska	Kodiak Island Borough	02150	6303	40748
2011	10	All	Alaska	Lake and Peninsula Borough	02164	758	38589
2011	10	All	Alaska	Matanuska-Susitna Borough	02170	19995	37501
2011	10	All	Alaska	Nome Census Area	02180	3755	42371
2011	10	All	Alaska	North Slope Borough	02185	13780	93561
2011	10	All	Alaska	Northwest Arctic Borough	02188	2825	56043
2011	10	All	Alaska	Petersburg Census Area	02195	1587	37273
2011	10	All	Alaska	Prince of Wales-Hyder Census Area	02198	1883	37237
2011	10	All	Alaska	Sitka Borough	02220	4249	40074
2011	10	All	Alaska	Skagway Municipality	02230	659	39228
2011	10	All	Alaska	Southeast Fairbanks Census Area	02240	2573	63571
2011	10	All	Alaska	Valdez-Cordova Census Area	02261	4646	47686
2011	10	All	Alaska	Wade Hampton Census Area	02270	2316	24620
2011	10	All	Alaska	Wrangell City and Borough	02275	841	35857
2011	10	All	Alaska	Yakutat Borough	02282	313	34326
2011	10	All	Alaska	Yukon-Koyukuk Census Area	02290	2275	40236
2011	10	All	Arizona		04000	2378248	44581
2011	10	All	Arizona	Apache County	04001	18815	38657
2011	10	All	Arizona	Cochise County	04003	36864	42101
2011	10	All	Arizona	Coconino County	04005	56109	37227
2011	10	All	Arizona	Gila County	04007	13997	37991
2011	10	All	Arizona	Graham County	04009	9205	35211
2011	10	All	Arizona	Greenlee County	04011	3600	60828
2011	10	All	Arizona	La Paz County	04012	5208	30189
2011	10	All	Arizona	Maricopa County	04013	1626646	46951
2011	10	All	Arizona	Mohave County	04015	44771	33088
2011	10	All	Arizona	Navajo County	04017	25768	35042
2011	10	All	Arizona	Pima County	04019	340806	41357
2011	10	All	Arizona	Pinal County	04021	52854	38657
2011	10	All	Arizona	Santa Cruz County	04023	12922	40256
2011	10	All	Arizona	Yavapai County	04025	53056	33819
2011	10	All	Arizona	Yuma County	04027	61757	33197
2011	10	All	Arkansas		05000	1139682	37280
2011	10	All	Arkansas	Arkansas County	05001	9866	33578
2011	10	All	Arkansas	Ashley County	05003	7956	38221
2011	10	All	Arkansas	Baxter County	05005	14023	30600
2011	10	All	Arkansas	Benton County	05007	93643	47480
2011	10	All	Arkansas	Boone County	05009	13829	32944
2011	10	All	Arkansas	Bradley County	05011	3416	29289
2011	10	All	Arkansas	Calhoun County	05013	2879	44548
2011	10	All	Arkansas	Carroll County	05015	10055	25958
2011	10	All	Arkansas	Chicot County	05017	3395	27585
2011	10	All	Arkansas	Clark County	05019	9189	29714
2011	10	All	Arkansas	Clay County	05021	3790	27077
2011	10	All	Arkansas	Cleburne County	05023	7034	29833
2011	10	All	Arkansas	Cleveland County	05025	1070	24432
2011	10	All	Arkansas	Columbia County	05027	8545	34768
2011	10	All	Arkansas	Conway County	05029	6885	32993
2011	10	All	Arkansas	Craighead County	05031	43737	33853
2011	10	All	Arkansas	Crawford County	05033	19409	31435
2011	10	All	Arkansas	Crittenden County	05035	15638	32099
2011	10	All	Arkansas	Cross County	05037	5121	29899
