Historic Coal Production Data: 2005
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration

Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Basin	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Production (short tons)	Average Employees	Labor Hours
2005	103295	Seymour Mine	Alabama	Bibb	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Hope Coal Company Inc	"3705 Cumberland Trace, Birmingham, AL 35242"		"57,800"	13	"18,978"
2005	100163	Arkadelphia 5761	Alabama	Cullman	Appalachia Southern	Permanently abandoned	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	"Post Office Box 1549, Jasper, AL 35502"	United Mine Workers of America	"97,438"	13	"30,100"
2005	100163	Arkadelphia 5761	Alabama	Cullman	Appalachia Southern	Permanently abandoned	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	"Post Office Box 1549, Jasper, AL 35502"	United Mine Workers of America	0	1	"1,500"
2005	103117	"Mine #2, #3, #4"	Alabama	Cullman	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Twin Pines Coal Company Inc	"P.O. Box 621, Jasper, AL 35502"		"570,809"	71	"197,120"
2005	103326	Roberts Store Mine #1	Alabama	Cullman	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Dorsey Creek Llc	"120 N. Walston Bridge Rd., Bld, Jasper, AL 35504"		"91,813"	27	"35,344"
2005	103246	Bear Creek	Alabama	Franklin	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Birmingham Coal & Coke Co., In"	"2477 Valleydale Rd S #b3, Birmingham, AL 35244"		"84,268"	8	"22,743"
2005	102933	Mine No. 1	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Cahaba Resources, Llc."	"16098 House Road, Brookwood, AL 35444"		"14,296"	13	"13,843"
2005	103006	Bledsoe Mine No 1	Alabama	Jackson	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine only	A L Select Inc	"573 Co Rd 85, Stevenson, AL 35772"		"6,593"	5	"4,741"
2005	103206	Mine No 1	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Gtm Mining Corporation	"15693 Alabama Highway 71, Pisgah, AL 35765"		"60,483"	18	"59,561"
2005	103301	Pit Number 2	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	D&e Mining Llc	"20297 Alabama Hwy 71, Flat Rock, AL 35966"		"25,270"	19	"26,946"
2005	100329	Concord Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Preparation Plant	"Oak Grove Resources, Llc"	"8800 Oak Grove Mine Road, Adger, AL 35006"	United Mine Workers of America	0	38	"93,323"
2005	100742	Short Creek 8750	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Preparation Plant	Drummond Company Inc	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	0	10	"29,267"
2005	100851	Oak Grove Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Mine only	"Oak Grove Resources, Llc"	"8800 Oak Grove Mine Rd, Adger, AL 35006"	United Mine Workers of America	"1,716,299"	301	"797,770"
2005	101037	Knob Strip Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Drummond Company Inc	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	"456,500"	71	"176,737"
2005	102354	Lindbergh	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	C & H Mining Company Inc	"3699 Industrial Parkway, Jasper, AL 35501"		"297,337"	43	"118,155"
2005	102760	Merritt Rogers Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	M S & R Equipment Company Inc	"2361 Cumberland Lake Dr, Pinson, AL 35126"		"121,537"	22	"49,876"
2005	102901	Shoal Creek Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	"Drummond Company, Inc."	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	"2,218,195"	820	"1,999,052"
2005	102951	Majestic	Alabama	Jefferson	Appalachia Southern	Permanently abandoned	Surface	Indepedent Producer Operator	Mine only	R J R Mining Company Inc	"104 3rd Street Sw, Cullman, AL 35055"		"9,719"	3	"1,788"
2005	103102	Newco #1	Alabama	Jefferson	Appalachia Southern	Permanently abandoned	Underground	Indepedent Producer Operator	Mine only	"Sunrise Coal Co., Llc"	"P.O. Box 270, Graysville, AL 35073"		"94,401"	38	"67,157"
2005	103150	Littleton Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Twin Pines Coal Company Inc	"P.O. Box 621, Jasper, AL 35502"		"122,787"	22	"66,701"
2005	103178	Alabama Fuel Products	Alabama	Jefferson	Appalachia Southern	Active	Surface	Operating Subsidiary	Preparation Plant	"Alabama Coal Recovery, Llc"	"8260 Birmingport Rd, Mulga, AL 35118"		0	60	"109,097"
2005	103178	Alabama Fuel Products	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Preparation Plant	"Alabama Coal Recovery, Llc"	"8260 Birmingport Rd, Mulga, AL 35118"		0	4	"5,742"
2005	103180	Sloan Mountain Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	M S & R Equipment Company Inc	"2361 Cumberland Drive, Pinson, AL 35126"		"152,594"	20	"45,589"
2005	103182	Fishtrap	Alabama	Jefferson	Appalachia Southern	Active	Surface	Contractor	Mine only	"Black Warrior Minerals, Inc."	"4788 Highway 78, Cordova, AL 35550"		"115,958"	20	"55,825"
2005	103271	Praco Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Contractor	Mine only	Cherokee Mining Llc	"107 Walston Bridge Road, Jasper, AL 35504"		"457,976"	67	"169,859"
2005	103278	Eagle Alabama No 1	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Eagle North America Inc	"5290 Mud Creek Road, Adger, AL 35006"		"90,616"	12	"23,418"
2005	103278	Eagle Alabama No 1	Alabama	Jefferson	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Eagle North America Inc	"5290 Mud Creek Road, Adger, AL 35006"		0	11	"31,575"
2005	103285	Narley Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Best Coal Inc	"P.O. Box 1253, Cullman, AL 35058"		"167,557"	17	"43,580"
2005	103279	Burleson Mine	Alabama	Marion	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"M. E. Group, Inc."	"119 Euclid Avenue, Birmingham, AL 35213"		"35,913"	7	"17,785"
