FY	Revenue Type	Commodity	Product	Revenue
2013	Reported Royalties	Coal (ton)	Coal (ton)	$78,174,119.92
2013	Reported Royalties	Coal (ton)	Coal-Bituminous-Raw (ton)	$45,265.05
2013	Reported Royalties	Gas (mcf)	Coal Bed Methane (mcf)	$55,156,971.02
2013	Reported Royalties	Gas (mcf)	Fuel Gas (mcf)	$45,990.03
2013	Reported Royalties	Gas (mcf)	Gas Hydrate (mcf)	$0.00
2013	Reported Royalties	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	$313,232.36
2013	Reported Royalties	Gas (mcf)	Processed (Residue) Gas (mcf)	$18,378,753.65
2013	Reported Royalties	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	$56,740,400.88
2013	Reported Royalties	NGL (gal)	Gas Plant Products (gal)	$12,634,562.58
2013	Reported Royalties	Oil (bbl)	Asphaltic Crude (bbl)	$0.00
2013	Reported Royalties	Oil (bbl)	Black Wax Crude (bbl)	$0.00
2013	Reported Royalties	Oil (bbl)	Condensate (bbl)	$6,996,494.01
2013	Reported Royalties	Oil (bbl)	Drip or Scrubber Condensate (bbl)	$685,517.24
2013	Reported Royalties	Oil (bbl)	Fuel Oil (bbl)	$0.00
2013	Reported Royalties	Oil (bbl)	Inlet Scrubber (bbl)	$0.00
2013	Reported Royalties	Oil (bbl)	Oil (bbl)	$677,075,371.60
2013	Reported Royalties	Oil (bbl)	Oil Lost (bbl)	$8,690.40
2013	Reported Royalties	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	$0.00
2013	Reported Royalties	Oil (bbl)	Sour Crude (bbl)	$0.00
2013	Reported Royalties	Oil (bbl)	Sweet Crude (bbl)	$0.00
2013	Reported Royalties	Oil (bbl)	Yellow Wax Crude (bbl)	$0.00
2013	Reported Royalties	Other Products	Cinders (ton)	$6,564.40
2013	Reported Royalties	Other Products	Copper Concentrate (ton)	$996,978.62
2013	Reported Royalties	Other Products	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	$4,690.48
2013	Reported Royalties	Other Products	Gypsum (ton)	$467,778.55
2013	Reported Royalties	Other Products	Helium (bbl)	$0.00
2013	Reported Royalties	Other Products	Humate	$0.00
2013	Reported Royalties	Other Products	Molybdenum Concentrate (ton)	$0.00
2013	Reported Royalties	Other Products	Sand/Gravel (ton)	$1,525,851.93
2013	Reported Royalties	Other Products	Sand/Gravel-Cubic Yards (cyd)	$7,556.00
2013	Rents	Coal		$106,735.70
2013	Rents	Copper		$6,174.37
2013	Rents	Gypsum		$1,055.00
2013	Rents	Mining-Unspecified		$0.00
2013	Rents	Oil & Gas		$2,652,683.99
2013	Rents	Phosphate		$200.00
2013	Rents	Sand & Gravel		$51,056.80
2013	Bonus	Coal		$10,611,353.00
2013	Other Revenues	Coal		$21,965,250.38
2013	Other Revenues	Copper		$1,481,367.48
2013	Other Revenues	Gypsum		$20,651.90
2013	Other Revenues	Hardrock		$0.00
2013	Other Revenues	Oil & Gas		$24,238,464.09
2013	Other Revenues	Phosphate		$1,200.00
2013	Other Revenues	Sand & Gravel		$556,250.40
2014	Reported Royalties	Coal (ton)	Coal (ton)	$69,916,904.41
2014	Reported Royalties	Coal (ton)	Coal-Bituminous-Raw (ton)	$38,072.81
2014	Reported Royalties	Gas (mcf)	Coal Bed Methane (mcf)	$63,463,463.09
2014	Reported Royalties	Gas (mcf)	Fuel Gas (mcf)	$894,606.17
2014	Reported Royalties	Gas (mcf)	Gas Hydrate (mcf)	$0.00
2014	Reported Royalties	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	$40,540.35
2014	Reported Royalties	Gas (mcf)	Processed (Residue) Gas (mcf)	$30,875,036.44
