Year	Region	FIPS	GDP
2004	United States	00	12206995
2005	United States	00	13022458
2006	United States	00	13781347
2007	United States	00	14399635
2008	United States	00	14635348
2009	United States	00	14329566
2010	United States	00	14869544
2011	United States	00	15416873
2012	United States	00	16060678
2013	United States	00	16665215
2004	Alabama	01	148769
2005	Alabama	01	157914
2006	Alabama	01	165131
2007	Alabama	01	170431
2008	Alabama	01	173712
2009	Alabama	01	169385
2010	Alabama	01	176355
2011	Alabama	01	182395
2012	Alabama	01	186960
2013	Alabama	01	194671
2004	Alaska	02	35510
2005	Alaska	02	40277
2006	Alaska	02	44867
2007	Alaska	02	49365
2008	Alaska	02	54853
2009	Alaska	02	49655
2010	Alaska	02	52673
2011	Alaska	02	56939
2012	Alaska	02	57941
2013	Alaska	02	57276
2004	Arizona	04	204659
2005	Arizona	04	227047
2006	Arizona	04	248075
2007	Arizona	04	262280
2008	Arizona	04	259238
2009	Arizona	04	243300
2010	Arizona	04	248542
2011	Arizona	04	256972
2012	Arizona	04	267493
2013	Arizona	04	274734
2004	Arkansas	05	85315
2005	Arkansas	05	90112
2006	Arkansas	05	95727
2007	Arkansas	05	99641
2008	Arkansas	05	103228
2009	Arkansas	05	101003
2010	Arkansas	05	106043
2011	Arkansas	05	110850
2012	Arkansas	05	114090
2013	Arkansas	05	118553
2004	California	06	1643908
2005	California	06	1760508
2006	California	06	1868969
2007	California	06	1952229
2008	California	06	1994484
2009	California	06	1915684
2010	California	06	1966587
2011	California	06	2033990
2012	California	06	2125135
2013	California	06	2212991
2004	Colorado	08	205347
2005	Colorado	08	222415
2006	Colorado	08	233142
2007	Colorado	08	245312
2008	Colorado	08	256091
2009	Colorado	08	250285
2010	Colorado	08	258237
2011	Colorado	08	266627
2012	Colorado	08	276816
2013	Colorado	08	288338
2004	Connecticut	09	198921
2005	Connecticut	09	208154
2006	Connecticut	09	220994
2007	Connecticut	09	235143
2008	Connecticut	09	231745
2009	Connecticut	09	227003
2010	Connecticut	09	232470
2011	Connecticut	09	233960
2012	Connecticut	09	239878
2013	Connecticut	09	246897
2004	Delaware	10	50618
2005	Delaware	10	52901
2006	Delaware	10	55826
2007	Delaware	10	57132
2008	Delaware	10	54719
2009	Delaware	10	56236
2010	Delaware	10	57539
2011	Delaware	10	59275
2012	Delaware	10	59104
2013	Delaware	10	60816
2004	District of Columbia	11	79564
2005	District of Columbia	11	83968
2006	District of Columbia	11	88502
2007	District of Columbia	11	93813
2008	District of Columbia	11	98849
2009	District of Columbia	11	99255
2010	District of Columbia	11	104172
2011	District of Columbia	11	108217
2012	District of Columbia	11	109937
2013	District of Columbia	11	111695
2004	Florida	12	637113
2005	Florida	12	700222
2006	Florida	12	748021
2007	Florida	12	773992
2008	Florida	12	754780
2009	Florida	12	722825
2010	Florida	12	730896
2011	Florida	12	736890
2012	Florida	12	766259
2013	Florida	12	800697
2004	Georgia	13	353025
2005	Georgia	13	376626
2006	Georgia	13	393920
2007	Georgia	13	411469
2008	Georgia	13	412155
2009	Georgia	13	406139
2010	Georgia	13	412194
2011	Georgia	13	424494
2012	Georgia	13	438801
2013	Georgia	13	456483
2004	Hawaii	15	53306
2005	Hawaii	15	58123
2006	Hawaii	15	61684
2007	Hawaii	15	64967
2008	Hawaii	15	66728
2009	Hawaii	15	65275
2010	Hawaii	15	67740
