Year	State	County	FIPS	Jobs	Total	Percent
2006	Alabama		01000	8311	1928281	0.4
2006	Alabama	Autauga County	01001	44	11259	0.4
2006	Alabama	Baldwin County	01003	61	59291	0.1
2006	Alabama	Barbour County	01005	116	11095	1.0
2006	Alabama	Choctaw County	01023	6	3927	0.2
2006	Alabama	Colbert County	01033	106	21496	0.5
2006	Alabama	Dallas County	01047	38	15610	0.2
2006	Alabama	Escambia County	01053	112	12681	0.9
2006	Alabama	Fayette County	01057	485	5400	9.0
2006	Alabama	Franklin County	01059	98	10981	0.9
2006	Alabama	Jackson County	01071	52	17379	0.3
2006	Alabama	Jefferson County	01073	1693	373097	0.5
2006	Alabama	Lee County	01081	67	48694	0.1
2006	Alabama	Macon County	01087	52	5852	0.9
2006	Alabama	Marion County	01093	38	11826	0.3
2006	Alabama	Mobile County	01097	396	170428	0.2
2006	Alabama	Montgomery County	01101	67	137700	0.0
2006	Alabama	Morgan County	01103	95	48157	0.2
2006	Alabama	Shelby County	01117	359	64043	0.6
2006	Alabama	Talladega County	01121	443	30243	1.5
2006	Alabama	Tuscaloosa County	01125	2333	84154	2.8
2006	Alabama	Walker County	01127	476	18889	2.5
2006	Alaska		02000	12247	307637	4.0
2006	Alaska	Anchorage Borough	02020	2241	144931	1.5
2006	Alaska	Fairbanks North Star Borough	02090	1300	36644	3.5
2006	Alaska	Juneau Borough	02110	388	17500	2.2
2006	Alaska	Kenai Peninsula Borough	02122	1017	17923	5.7
2006	Alaska	Matanuska-Susitna Borough	02170	38	17513	0.2
2006	Alaska	North Slope Borough	02185	6295	10395	60.6
2006	Alaska	Prince of Wales-Outer Ketchikan Census Area	02201	3	1795	0.2
2006	Alaska	Valdez-Cordova Census Area	02261	25	4624	0.5
2006	Alaska	Yukon-Koyukuk Census Area	02290	29	2077	1.4
2006	Arizona		04000	437	2614344	0.0
2006	Arizona		04000	9716	2614344	0.4
2006	Arizona	Cochise County	04003	39	38009	0.1
2006	Arizona	Coconino County	04005	124	58134	0.2
2006	Arizona	Gila County	04007	665	14385	4.6
2006	Arizona	Maricopa County	04013	1618	1803147	0.1
2006	Arizona	Mohave County	04015	119	54758	0.2
2006	Arizona	Navajo County	04017	563	28339	2.0
2006	Arizona	Pima County	04019	1557	367667	0.4
2006	Arizona	Pinal County	04021	974	48523	2.0
2006	Arizona	Yavapai County	04025	1238	63334	2.0
2006	Arkansas		05000	4921	1167925	0.4
2006	Arkansas	Carroll County	05015	16	9950	0.2
2006	Arkansas	Columbia County	05027	439	9458	4.6
2006	Arkansas	Conway County	05029	23	6806	0.3
2006	Arkansas	Crawford County	05033	153	19050	0.8
2006	Arkansas	Faulkner County	05045	173	37887	0.5
2006	Arkansas	Garland County	05051	163	37145	0.4
2006	Arkansas	Grant County	05053	41	3681	1.1
2006	Arkansas	Hot Spring County	05059	74	8174	0.9
2006	Arkansas	Independence County	05063	56	16335	0.3
2006	Arkansas	Johnson County	05071	27	8582	0.3
2006	Arkansas	Lafayette County	05073	72	1455	4.9
2006	Arkansas	Lawrence County	05075	83	4171	2.0
2006	Arkansas	Logan County	05083	76	5945	1.3
2006	Arkansas	Miller County	05091	19	12593	0.2
2006	Arkansas	Ouachita County	05103	95	7978	1.2
2006	Arkansas	Pulaski County	05119	594	246949	0.2
2006	Arkansas	Sebastian County	05131	1220	74180	1.6
2006	Arkansas	Union County	05139	273	19971	1.4
2006	Arkansas	Washington County	05143	81	92406	0.1
2006	Arkansas	White County	05145	62	23962	0.3
2006	California		06000	23929	15503144	0.2
2006	California	Alameda County	06001	195	683616	0.0
2006	California	Amador County	06005	160	12666	1.3
2006	California	Butte County	06007	40	76107	0.1
2006	California	Contra Costa County	06013	979	345649	0.3
2006	California	El Dorado County	06017	30	52289	0.1
2006	California	Fresno County	06019	156	350356	0.0
2006	California	Inyo County	06027	14	7780	0.2
2006	California	Kern County	06029	9320	276017	3.4
2006	California	Los Angeles County	06037	3976	4161761	0.1
2006	California	Mendocino County	06045	39	32486	0.1
2006	California	Monterey County	06053	194	168013	0.1
2006	California	Napa County	06055	55	66029	0.1
2006	California	Nevada County	06057	80	30314	0.3
2006	California	Orange County	06059	609	1514873	0.0
2006	California	Placer County	06061	94	136972	0.1
2006	California	Riverside County	06065	666	633940	0.1
2006	California	Sacramento County	06067	233	636988	0.0
2006	California	San Bernardino County	06071	671	654679	0.1
2006	California	San Diego County	06073	447	1313949	0.0
2006	California	San Francisco County	06075	29	536304	0.0
2006	California	San Joaquin County	06077	233	221739	0.1
2006	California	San Luis Obispo County	06079	118	105317	0.1
2006	California	San Mateo County	06081	55	334910	0.0
2006	California	Santa Barbara County	06083	1099	184981	0.6
2006	California	Santa Clara County	06085	251	877710	0.0
2006	California	Shasta County	06089	152	67766	0.2
2006	California	Sierra County	06091	5	717	0.7
2006	California	Solano County	06095	316	130804	0.2
2006	California	Sonoma County	06097	167	191555	0.1
2006	California	Sutter County	06101	78	28092	0.3
2006	California	Tulare County	06107	62	146806	0.0
2006	California	Tuolumne County	06109	135	18185	0.7
2006	California	Ventura County	06111	1008	317030	0.3
2006	California	Yolo County	06113	250	99368	0.3
2006	California	Yuba County	06115	97	17278	0.6
2006	Colorado		08000	20680	2242012	0.9
2006	Colorado	Adams County	08001	238	152738	0.2
2006	Colorado	Arapahoe County	08005	578	276092	0.2
2006	Colorado	Archuleta County	08007	28	3676	0.8
2006	Colorado	Baca County	08009	3	1221	0.2
2006	Colorado	Boulder County	08013	630	156914	0.4
2006	Colorado	Chaffee County	08015	20	6561	0.3
2006	Colorado	Cheyenne County	08017	95	764	12.4
2006	Colorado	Conejos County	08021	48	1320	3.6
2006	Colorado	Denver County	08031	4772	432461	1.1
2006	Colorado	Douglas County	08035	211	87416	0.2
2006	Colorado	Eagle County	08037	9	30584	0.0
2006	Colorado	El Paso County	08041	163	245228	0.1
2006	Colorado	Fremont County	08043	97	13549	0.7
2006	Colorado	Garfield County	08045	2172	25473	8.5
2006	Colorado	Gunnison County	08051	806	8388	9.6
2006	Colorado	Huerfano County	08055	30	2007	1.5
2006	Colorado	Jefferson County	08059	380	207159	0.2
2006	Colorado	La Plata County	08067	492	24826	2.0
2006	Colorado	Larimer County	08069	398	127335	0.3
2006	Colorado	Las Animas County	08071	321	5839	5.5
2006	Colorado	Logan County	08075	149	8340	1.8
2006	Colorado	Mesa County	08077	1859	57970	3.2
2006	Colorado	Moffat County	08081	628	5175	12.1
2006	Colorado	Montezuma County	08083	85	9358	0.9
2006	Colorado	Montrose County	08085	109	14904	0.7
2006	Colorado	Morgan County	08087	283	11180	2.5
2006	Colorado	Park County	08093	8	2351	0.3
2006	Colorado	Pueblo County	08101	87	55153	0.2
2006	Colorado	Rio Blanco County	08103	982	3628	27.1
2006	Colorado	Weld County	08123	2240	80405	2.8
2006	Colorado	Yuma County	08125	268	3795	7.1
2006	Connecticut		09000	737	1672109	0.0
2006	Connecticut	Hartford County	09003	108	497849	0.0
2006	Connecticut	Litchfield County	09005	100	62896	0.2
2006	Connecticut	New London County	09011	89	129339	0.1
2006	Connecticut	Windham County	09015	65	39135	0.2
2006	Delaware		10000	64	422187	0.0
2006	Florida		12000	4526	7952023	0.1
2006	Florida	Bay County	12005	21	73066	0.0
2006	Florida	Brevard County	12009	80	207810	0.0
2006	Florida	Broward County	12011	119	747163	0.0
2006	Florida	Citrus County	12017	55	33894	0.2
2006	Florida	Collier County	12021	51	134962	0.0
2006	Florida	Duval County	12031	23	461667	0.0
2006	Florida	Escambia County	12033	86	129643	0.1
2006	Florida	Flagler County	12035	29	18786	0.2
2006	Florida	Gadsden County	12039	159	14949	1.1
2006	Florida	Hernando County	12053	139	40008	0.3
2006	Florida	Hillsborough County	12057	493	639555	0.1
2006	Florida	Lake County	12069	188	83872	0.2
2006	Florida	Lee County	12071	175	224261	0.1
2006	Florida	Levy County	12075	42	9039	0.5
2006	Florida	Marion County	12083	167	103257	0.2
2006	Florida	Miami-Dade County	12086	350	1007587	0.0
