Year	Commodity	Volume	Region	Product
2004		3644084	AK	Natural Gas (MMcf)
2004		187310	AR	Natural Gas (MMcf)
2004		294172	CA	Natural Gas (MMcf)
2004		54655	pacific	Natural Gas (MMcf)
2004		1089622	CO	Natural Gas (MMcf)
2004		4000685	gulf	Natural Gas (MMcf)
2004		398197	KS	Natural Gas (MMcf)
2004		1377295	LA	Natural Gas (MMcf)
2004		97838	MT	Natural Gas (MMcf)
2004		1644738	NM	Natural Gas (MMcf)
2004		57333	ND	Natural Gas (MMcf)
2004		90476	OH	Natural Gas (MMcf)
2004		1655769	OK	Natural Gas (MMcf)
2004		197217	PA	Natural Gas (MMcf)
2004		5733918	TX	Natural Gas (MMcf)
2004		290586	UT	Natural Gas (MMcf)
2004		197217	WV	Natural Gas (MMcf)
2004		1929040	WY	Natural Gas (MMcf)
2005		3642948	AK	Natural Gas (MMcf)
2005		190774	AR	Natural Gas (MMcf)
2005		297956	CA	Natural Gas (MMcf)
2005		54088	pacific	Natural Gas (MMcf)
2005		1143985	CO	Natural Gas (MMcf)
2005		3150818	gulf	Natural Gas (MMcf)
2005		378250	KS	Natural Gas (MMcf)
2005		1309913	LA	Natural Gas (MMcf)
2005		108555	MT	Natural Gas (MMcf)
2005		1656850	NM	Natural Gas (MMcf)
2005		55904	ND	Natural Gas (MMcf)
2005		83523	OH	Natural Gas (MMcf)
2005		1639310	OK	Natural Gas (MMcf)
2005		168501	PA	Natural Gas (MMcf)
2005		6006837	TX	Natural Gas (MMcf)
2005		311994	UT	Natural Gas (MMcf)
2005		221108	WV	Natural Gas (MMcf)
2005		2003826	WY	Natural Gas (MMcf)
2006		3205751	AK	Natural Gas (MMcf)
2006		270744	AR	Natural Gas (MMcf)
2006		308730	CA	Natural Gas (MMcf)
2006		40407	pacific	Natural Gas (MMcf)
2006		1214396	CO	Natural Gas (MMcf)
2006		2914131	gulf	Natural Gas (MMcf)
2006		372029	KS	Natural Gas (MMcf)
2006		1378238	LA	Natural Gas (MMcf)
2006		114037	MT	Natural Gas (MMcf)
2006		1619528	NM	Natural Gas (MMcf)
2006		62786	ND	Natural Gas (MMcf)
2006		86315	OH	Natural Gas (MMcf)
2006		1688985	OK	Natural Gas (MMcf)
2006		175950	PA	Natural Gas (MMcf)
2006		6326433	TX	Natural Gas (MMcf)
2006		356321	UT	Natural Gas (MMcf)
2006		225530	WV	Natural Gas (MMcf)
2006		2111766	WY	Natural Gas (MMcf)
2007		3479290	AK	Natural Gas (MMcf)
2007		270414	AR	Natural Gas (MMcf)
2007		293873	CA	Natural Gas (MMcf)
2007		45516	pacific	Natural Gas (MMcf)
2007		1254529	CO	Natural Gas (MMcf)
2007		2813197	gulf	Natural Gas (MMcf)
2007		366859	KS	Natural Gas (MMcf)
2007		1382828	LA	Natural Gas (MMcf)
2007		120575	MT	Natural Gas (MMcf)
2007		1555450	NM	Natural Gas (MMcf)
2007		70797	ND	Natural Gas (MMcf)
2007		88095	OH	Natural Gas (MMcf)
2007		1783682	OK	Natural Gas (MMcf)
2007		182277	PA	Natural Gas (MMcf)
2007		6960858	TX	Natural Gas (MMcf)
2007		385361	UT	Natural Gas (MMcf)
2007		231184	WV	Natural Gas (MMcf)
2007		2257884	WY	Natural Gas (MMcf)
2008		3415884	AK	Natural Gas (MMcf)
2008		447082	AR	Natural Gas (MMcf)
2008		288117	CA	Natural Gas (MMcf)
2008		44902	pacific	Natural Gas (MMcf)
2008		1402845	CO	Natural Gas (MMcf)
2008		2329955	gulf	Natural Gas (MMcf)
2008		375314	KS	Natural Gas (MMcf)
2008		1387722	LA	Natural Gas (MMcf)
2008		119399	MT	Natural Gas (MMcf)
2008		1487123	NM	Natural Gas (MMcf)
2008		87188	ND	Natural Gas (MMcf)
2008		84858	OH	Natural Gas (MMcf)
2008		1886710	OK	Natural Gas (MMcf)
2008		198295	PA	Natural Gas (MMcf)
2008		7800655	TX	Natural Gas (MMcf)
2008		441598	UT	Natural Gas (MMcf)
2008		244880	WV	Natural Gas (MMcf)
2008		2488267	WY	Natural Gas (MMcf)
2009		3312386	AK	Natural Gas (MMcf)
2009		680613	AR	Natural Gas (MMcf)
2009		265034	CA	Natural Gas (MMcf)
2009		41229	pacific	Natural Gas (MMcf)
2009		1511654	CO	Natural Gas (MMcf)
2009		2444102	gulf	Natural Gas (MMcf)
2009		355394	KS	Natural Gas (MMcf)
2009		1558638	LA	Natural Gas (MMcf)
2009		105251	MT	Natural Gas (MMcf)
2009		1425222	NM	Natural Gas (MMcf)
2009		92489	ND	Natural Gas (MMcf)
2009		88824	OH	Natural Gas (MMcf)
2009		1901556	OK	Natural Gas (MMcf)
2009		273869	PA	Natural Gas (MMcf)
2009		7653647	TX	Natural Gas (MMcf)
2009		449511	UT	Natural Gas (MMcf)
2009		264436	WV	Natural Gas (MMcf)
2009		2536336	WY	Natural Gas (MMcf)
2010		3197100	AK	Natural Gas (MMcf)
2010		927479	AR	Natural Gas (MMcf)
2010		278691	CA	Natural Gas (MMcf)
2010		41200	pacific	Natural Gas (MMcf)
2010		1589664	CO	Natural Gas (MMcf)
2010		2259144	gulf	Natural Gas (MMcf)
2010		325591	KS	Natural Gas (MMcf)
2010		2218283	LA	Natural Gas (MMcf)
2010		93266	MT	Natural Gas (MMcf)
2010		1341475	NM	Natural Gas (MMcf)
2010		113867	ND	Natural Gas (MMcf)
2010		78122	OH	Natural Gas (MMcf)
2010		1827328	OK	Natural Gas (MMcf)
2010		572902	PA	Natural Gas (MMcf)
2010		7593697	TX	Natural Gas (MMcf)
2010		436885	UT	Natural Gas (MMcf)
2010		265174	WV	Natural Gas (MMcf)
2010		2514657	WY	Natural Gas (MMcf)
2011		3162922	AK	Natural Gas (MMcf)
2011		1076757	AR	Natural Gas (MMcf)
2011		242551	CA	Natural Gas (MMcf)
2011		36579	pacific	Natural Gas (MMcf)
2011		1649306	CO	Natural Gas (MMcf)
2011		1830913	gulf	Natural Gas (MMcf)
2011		309952	KS	Natural Gas (MMcf)
2011		3040523	LA	Natural Gas (MMcf)
2011		79506	MT	Natural Gas (MMcf)
2011		1287682	NM	Natural Gas (MMcf)
2011		157025	ND	Natural Gas (MMcf)
2011		78858	OH	Natural Gas (MMcf)
2011		1888870	OK	Natural Gas (MMcf)
2011		1310592	PA	Natural Gas (MMcf)
2011		7934689	TX	Natural Gas (MMcf)
2011		461507	UT	Natural Gas (MMcf)
2011		394125	WV	Natural Gas (MMcf)
2011		2375301	WY	Natural Gas (MMcf)
2012		3164791	AK	Natural Gas (MMcf)
2012		1146168	AR	Natural Gas (MMcf)
2012		219560	CA	Natural Gas (MMcf)
2012		27262	pacific	Natural Gas (MMcf)
2012		1709376	CO	Natural Gas (MMcf)
2012		1527875	gulf	Natural Gas (MMcf)
2012		296299	KS	Natural Gas (MMcf)
2012		2955437	LA	Natural Gas (MMcf)
2012		66954	MT	Natural Gas (MMcf)
2012		1276296	NM	Natural Gas (MMcf)
2012		258568	ND	Natural Gas (MMcf)
2012		84482	OH	Natural Gas (MMcf)
2012		2023461	OK	Natural Gas (MMcf)
2012		2256696	PA	Natural Gas (MMcf)
2012		8143510	TX	Natural Gas (MMcf)
2012		490393	UT	Natural Gas (MMcf)
2012		539860	WV	Natural Gas (MMcf)
2012		2225622	WY	Natural Gas (MMcf)
2013		3215358	AK	Natural Gas (MMcf)
2013		1139654	AR	Natural Gas (MMcf)
2013		224856	CA	Natural Gas (MMcf)
2013		27454	pacific	Natural Gas (MMcf)
2013		1604860	CO	Natural Gas (MMcf)
2013		1326697	gulf	Natural Gas (MMcf)
2013		292467	KS	Natural Gas (MMcf)
2013		2366943	LA	Natural Gas (MMcf)
2013		63242	MT	Natural Gas (MMcf)
2013		1247394	NM	Natural Gas (MMcf)
2013		345787	ND	Natural Gas (MMcf)
2013		166017	OH	Natural Gas (MMcf)
2013		1993754	OK	Natural Gas (MMcf)
2013		3259042	PA	Natural Gas (MMcf)
2013		8299472	TX	Natural Gas (MMcf)
2013		470863	UT	Natural Gas (MMcf)
2013		741853	WV	Natural Gas (MMcf)
2013		2047757	WY	Natural Gas (MMcf)
2004		338735	AL	Natural Gas (MMcf)
2004		331	AZ	Natural Gas (MMcf)
2004		3525	FL	Natural Gas (MMcf)
2004		170	IL	Natural Gas (MMcf)
2004		3401	IN	Natural Gas (MMcf)
2004		94259	KY	Natural Gas (MMcf)
2004		34	MD	Natural Gas (MMcf)
2004		265345	MI	Natural Gas (MMcf)
2004		176329	MS	Natural Gas (MMcf)
2004		0	MO	Natural Gas (MMcf)
2004		1499	NE	Natural Gas (MMcf)
2004		5	NV	Natural Gas (MMcf)
2004		46050	NY	Natural Gas (MMcf)
2004		467	OR	Natural Gas (MMcf)
2004		11768	SD	Natural Gas (MMcf)
2004		2100	TN	Natural Gas (MMcf)
2004		85508	VA	Natural Gas (MMcf)
2005		317206	AL	Natural Gas (MMcf)
2005		233	AZ	Natural Gas (MMcf)
2005		2954	FL	Natural Gas (MMcf)
2005		166	IL	Natural Gas (MMcf)
2005		3135	IN	Natural Gas (MMcf)
2005		92795	KY	Natural Gas (MMcf)
2005		46	MD	Natural Gas (MMcf)
2005		266776	MI	Natural Gas (MMcf)
2005		189371	MS	Natural Gas (MMcf)
