State,Revenue Type,Commodity,Revenue
Alabama,Royalties,Coal,3677302.59
Alabama,Royalties,Gas,200507.39
Alabama,Royalties,Oil,318163.13
Alabama,Royalties,Other Commodities,2679.68
Alabama,Other Revenues,Hardrock,-615
Alabama,Other Revenues,Oil & Gas,-4847.15
Alaska,Royalties,Gas,6988259.54
Alaska,Royalties,Oil,6598210.68
Alaska,Other Revenues,Oil & Gas,-73738.58
Arizona,Royalties,Other Commodities,4224.65
Arkansas,Royalties,Gas,5083889.58
Arkansas,Royalties,Oil,7.87
Arkansas,Royalties,Other Commodities,4.45
Arkansas,Other Revenues,Hardrock,1369.55
Arkansas,Other Revenues,Oil & Gas,-23465.3
California,Royalties,Gas,4584038.53
California,Royalties,Geothermal,9306460.38
California,Royalties,Oil,183762630.38
California,Royalties,Other Commodities,8742199.96
California,Other Revenues,Oil & Gas,-189377.55
Colorado,Royalties,Coal,26242242.2
Colorado,Royalties,Gas,152944370.02
Colorado,Royalties,Oil,47276400.22
Colorado,Royalties,Other Commodities,62748536.14
Colorado,Other Revenues,Coal,318684.9
Colorado,Other Revenues,Oil & Gas,495831.46
Colorado,Other Revenues,Sodium,29319
Florida,Royalties,Other Commodities,285731.37
Florida,Other Revenues,Phosphate,989
Idaho,Royalties,Other Commodities,9818112.1
Idaho,Other Revenues,Phosphate,113544
Illinois,Royalties,Oil,302424.64
Indiana,Royalties,Oil,17820.38
Indiana,Other Revenues,Oil & Gas,13037.54
Kansas,Royalties,Gas,3090359.21
Kansas,Royalties,Oil,2628624.21
Kansas,Royalties,Other Commodities,-0.22
Kansas,Other Revenues,Oil & Gas,-34647.24
Kentucky,Royalties,Coal,1499102.72
Kentucky,Royalties,Gas,46424.16
Kentucky,Royalties,Oil,160773.22
Kentucky,Other Revenues,Oil & Gas,45472.24
Louisiana,Royalties,Gas,9392460.39
Louisiana,Royalties,Oil,4128046.98
Louisiana,Other Revenues,Oil & Gas,-10168.69
Maryland,Other Revenues,Oil & Gas,7035.88
Michigan,Royalties,Gas,706855.98
Michigan,Royalties,Oil,372243.04
Michigan,Other Revenues,Oil & Gas,3359.4
Minnesota,Other Revenues,Copper,26110
Minnesota,Other Revenues,Hardrock,22550
Mississippi,Royalties,Gas,274220.31
Mississippi,Royalties,Oil,4759241.28
Mississippi,Other Revenues,Oil & Gas,-3717
Missouri,Royalties,Other Commodities,9356915.72
Missouri,Other Revenues,Hardrock,16197
Montana,Royalties,Coal,44889477.56
Montana,Royalties,Gas,4620714.47
Montana,Royalties,Oil,25245245.64
Montana,Royalties,Other Commodities,5314.96
Montana,Other Revenues,Oil & Gas,191549.17
Montana,Other Revenues,Phosphate,2818
Nebraska,Royalties,Gas,5288.38
Nebraska,Royalties,Oil,292938.04
Nebraska,Other Revenues,Oil & Gas,38437.31
Nevada,Royalties,Geothermal,2730744.4
Nevada,Royalties,Oil,3613728.95
Nevada,Other Revenues,Geothermal,7572.52
Nevada,Other Revenues,Oil & Gas,1333.82
New Mexico,Royalties,Coal,14827533.41
New Mexico,Royalties,Gas,391537911.6
New Mexico,Royalties,Oil,568253428.8
New Mexico,Royalties,Other Commodities,22441063.17
New Mexico,Other Revenues,Coal,25449.02
New Mexico,Other Revenues,Geothermal,5607.81
New Mexico,Other Revenues,Oil & Gas,7716738.58
New Mexico,Other Revenues,Potassium,343095
New Mexico,Other Revenues,Sodium,-9240
New York,Royalties,Gas,5222.81
North Carolina,Other Revenues,Hardrock,474
North Dakota,Royalties,Coal,1903263.85
North Dakota,Royalties,Gas,9889342.29
North Dakota,Royalties,Oil,180649260.32
North Dakota,Royalties,Other Commodities,49709.67
North Dakota,Other Revenues,Oil & Gas,223008.01
Ohio,Royalties,Gas,211525.83
Ohio,Royalties,Oil,235422.98
Ohio,Other Revenues,Oil & Gas,18918.68
Oklahoma,Royalties,Coal,962180.33
Oklahoma,Royalties,Gas,5754151.36
Oklahoma,Royalties,Oil,4998979.9
Oklahoma,Royalties,Other Commodities,1.2
Oklahoma,Other Revenues,Oil & Gas,-118301.23
Pennsylvania,Royalties,Gas,12250.46
Pennsylvania,Royalties,Oil,20669.77
Pennsylvania,Other Revenues,Oil & Gas,53529.94
South Dakota,Royalties,Gas,47288.28
South Dakota,Royalties,Oil,2004620.58
South Dakota,Other Revenues,Oil & Gas,3767.3
Texas,Royalties,Gas,21257798.87
Texas,Royalties,Oil,3167054
Texas,Other Revenues,Oil & Gas,111205.76
Utah,Royalties,Coal,39455178.73
Utah,Royalties,Gas,132418429.67
Utah,Royalties,Geothermal,303753.38
Utah,Royalties,Oil,130370575.67
Utah,Royalties,Other Commodities,3311181.7
Utah,Other Revenues,Clay,942
Utah,Other Revenues,Coal,2495.5
Utah,Other Revenues,Gilsonite,4191
Utah,Other Revenues,Oil & Gas,2208091.88
Utah,Other Revenues,Phosphate,31920
Utah,Other Revenues,Potassium,22528
Virginia,Royalties,Gas,55416.5
Virginia,Royalties,Oil,91.93
Virginia,Royalties,Other Commodities,60702.52
Virginia,Other Revenues,Hardrock,-2130
Virginia,Other Revenues,Oil & Gas,10376.1
West Virginia,Royalties,Gas,71158.95
West Virginia,Other Revenues,Oil & Gas,394396.26
Wyoming,Royalties,Coal,534226397.09
Wyoming,Royalties,Gas,560494767.31
Wyoming,Royalties,Oil,341686585.41
