State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
AK	404	2011	TANANA LAKES RECREATION AREA: PHASE 3	A	98,280.00	D	BOROUGH OF FAIRBANKS NORTH STAR		TANANA LAKES RECREATION AREA	FAIRBANKS NORTH STAR	0	81.2
AK	403	2011	SKATER'S LAKE PARK	A	98,280.00	D	METLAKATLA INDIAN COMMUNITY		SKATER'S LAKE PARK	PRINCE OF WALES HYDER	0	40
AK	405	2011	JOHNSON LAKE SRA WEST CAMGROUND UPGRADE	A	172,132.50	R	ALASKA DIVISION OF PARKS	Develop the West campground loop road with 14 new campsites. Create gravel trails and a group camp site. Install gate and barrier rocks, relocate toilet, and improve the boat launch area.	JOHNSON LAKE STATE RECREATION AREA	KENAI PENINSULA	0	332
AK	402	2011	SELDOVIA WILDERNESS PARK UPGRADE AND EXPANSION	A	98,280.00	R	CITY OF SELDOVIA		SELDOVIA WILDERNESS PARK	KENAI PENINSULA	0	47.8
AK	401	2011	FINGER LAKE SRA: PHASE 2	A	122,707.50	R	ALASKA DIVISION OF PARKS		FINGER LAKE STATE RECREATION AREA	Matanuska Susitna	0	47.3
AL	952	2011	CHEROKEE LITTLE ROCK CITY PARK DEVELOPMENT PHASE I	A	175,000.00	C	CHEROKEE COUNTY	Combination project to include the acquisition by donation of 81.3+/- acres and the development of access roads, parking, walkways, comfort stations, signage, camping areas and related support facilities at existing park. A1: This amendment provides additional funding to the original grant for the acquisition.	LITTLE ROCK CITY PARK	CHEROKEE	3	281.3
AR	803	2011	FARMINGTON SPORTS COMPLEX	C	126,381.00	D	CITY OF FARMINGTON	The city of Farmington (Washington County, Arkansas) will utilize a Land and Water Conservation Fund grant to assist in constructing ballfields and installing playground equipment, a walking trail, and a picnic area within the 18.01-acre Creekside Park. Accessibility and safety improvements will be made to the park.	CREEKSIDE PARK	WASHINGTON	3	18
AR	802	2011	ARCHEY FORK PARK IMPROVEMENTS	C	150,922.60	D	CITY OF CLINTON	The city of Clinton (Van Buren County, Arkansas) will utilize a Land and Water Conservation Fund grant to assist in lighting two ballfields and making accessibility improvements to the walking trail at the 15.19-acre Archey Ford Park.	ARCHEY FORK PARK	VAN BUREN	2	15.2
CA	1,710	2011	SALTON SEA SRA - IRONWOOD TRAIL IMPROVEMENTS	A	155,000.00	D	CA DEPARTMENT OF PARKS AND RECREATION	Improve the existing Ironwood Trail at Salton Sea State Recreation Area to meet accessibility standards and provide outdoor recreation opportunites to people with disabilities. This will involve reconstructing some of the existing trail and constructing 2,378 feet of new trail, including 102 feet of boardwalk. ADA compliant picnic sites and parking will also be added.	SALTON SEA STATE RECREATION AREA	IMPERIAL	51	17,280.00
CA	1,712	2011	MONTANA DE ORO STATE PARK - BLUFF TRAIL IMPROVEMEN	A	267,500.00	D	CA DEPARTMENT OF PARKS AND RECREATION	Improve 8,000 linear feet of the existing Bluff Trail at Montana De Ord State Park to meet accessibility standards and provide outdoor recreation opportunities to people with disabilities. It will also replace two restrooms and install ADA compliant parking.	MONTANA DE ORO STATE PARK	SAN LUIS OBISPO	22	8,295.60
CA	1,709	2011	SAMUEL P. TAYLOR SP - SOUTH CREEK TRAIL IMP.	A	175,000.00	D	CA DEPARTMENT OF PARKS AND RECREATION	This project will improve .75 miles of trail to meet accessibility standards and provide outdoor recreation opportunities to people with disabilities.	SAMUEL P. TAYLOR STATE PARK	MARIN	6	2,615.00
CA	1,720	2011	MCLAREN PARK TRAIL CONNECTOR TRAIL PROJECT	A	186,746.00	D	CITY AND COUNTY OF SAN FRANCISCO	This trail connector project will provide welcoming and safe access to trails and pathway into McLaren Park from the Crocker-Amazon, Excelsior, Visitacion Valley, and Sunnydale neighborhoods.	MCLAREN PARK	San Francisco	0	312
CA	1,711	2011	CASWELL MEMORIAL SP - LOOP NATURE TRAIL IMPROVEMEN	A	215,000.00	D	CA DEPARTMENT OF PARKS AND RECREATION	Provide .8 linear miles of trail at Caswell Memorial State Park to meet accessibility standards and provide outdoor recreation opportunities for people with disabilities.	CASWELL MEMORIAL STATE PARK	SAN JOAQUIN	11	258.1
CA	1,719	2011	ABALONE COVE SHORELINE PARK IMPROVEMENT PROJECT	A	332,588.00	D	CITY OF RANCHO PALOS VERDES	This trail and facilities project will improve an underutilized coastal park with incredibal potential for enhanced recreational opportunities and views unlike any others in the metropolitan Los Angeles area.	ABALONE COVE SHORELINE PARK	LOS ANGELES	36	80
CA	1,722	2011	FRUITVALE NORRIS PARK UNIVERSAL PLAYGROUND	A	80,250.00	D	NORTH OF THE RIVER RECREATION AND PARK DISTRICT	This playground development project in Bakersfield will be developed as an inclusive facility that meets ADA requirements. It will be the first such accessible playground for an area with a population of over 500,000.	FRUITVALE NORRIS PARK	KERN	22	17.2
CA	1,715	2011	LIVE OAK RECREATIONAL TRAIL PHASE 3	A	206,469.00	D	CITY OF LIVE OAK	The installation of this pedestrian and bicycle trail will greatly improve access to public parks and recreation resources in Live Oak.	LIVE OAK RECREATIONAL TRAIL	SUTTER	2	0.5
CO	1,120	2011	DOG OFF-LEASH AREA AT CHERRY CREEK STATE PARK	A	547,565.00	D	STATE OF COLORADO	The State of Colorado will utilize a Land and Water Conservation Fund grant to assist in developing an area for off-leash dog use within Cherry Creek State Park (Arapahoe County). The grant scope includes the construction of fencing around a 107-acre area, improvements to an existing parking lot, construction of a new bathroom, and the construction of a soft surface multi-use trail throughout the area. Upon completion, this area is expected to become one of the largest off-leash dog parks in the country.	CHERRY CREEK STATE PARK	ARAPAHOE	6	4,286.90
CO	1,118	2011	COTTONWOOD CREEK TRAIL - SAFE PASSAGE	A	222,713.00	D	CITY OF COLORADO SPRINGS	Colorado Springs (El Paso County, Colorado) will utilize a Land and Water Conservation Fund grant to assist in developing a bridge and a short trail segment over Cottonwood Creek. This bridge is a key connection for a direct east-west route within the City’s trails network, connecting residents in suburban northern and eastern Colorado Springs with the City’s downtown and west side. The addition of this bridge will eliminate a physical barrier and allow trail users direct access to the Pikes Peak Greenway rather than the current 1.5-mile detour which includes crossing a major arterial and then backtracking to the trail.	COTTONWOOD CREEK TRAIL	EL PASO	5	0.1
CT	463	2011	Hammonasset Beach State Park Nature Center	A	563,000.00	D	Department of Energy & Environmental Protection		HAMMONASSET BEACH STATE PARK	NEW HAVEN	3	920
FL	574	2011	TUCKER RANCH PARK	C	200,000.00	A	CITY OF WINTER GARDEN	Grant funds will be used to accquire 200± acres to create a new park in the City of Winter Garden that will provide athletic field space in the extreme eastern part of the property while the majority of the property will be left in a natural state for passive recreational opportunities such as picknicking, hiking, boating, and nature interpretation activities.	TUCKER RANCH RECREATION AND NATURE COMPLEX	ORANGE	8	200
FL	575	2011	GEORGETOWN RIVERFRONT PARK	C	163,527.40	A	PUTNAM COUNTY	Grant will fund the acquisition of 25.56± acres to create a new park that will provide a trailhead for the Georgetown link of the Putnam County multi-use trail system. Future development will include picnic pavilions, parking, horseshoe pit, boat ramp, observation deck, and other related support facilities.	GEORGETOWN RIVERFRONT PARK	PUTNAM	3	25.7
FL	577	2011	PALM AIRE PARK PARCEL	C	87,779.03	A	CITY OF POMPANO BEACH	Grant will fund the acquisition of 4.915± acres of vacant flat land, with a small pond along the northern boundary in the City of Pompano Beach to create a new park to be developed in the future to include a basketball court, a bocce ball court, an exercise court, two handball/racquetball courts, two playgrounds and six tennis courts. These are new types of recreational opportunities for the community.	PALM AIRE PARK	BROWARD	19	4.9
FL	573	2011	EGAN PARK ADDITION	C	200,000.00	A	CITY OF ST. PETE BEACH	Grant funds will be used to assist the City of Oviedo to acquire .68+/- acres of land to be used as a linear park to connect to the existing recreational uses of Round Lake and Round Lake Park. The new types of outdoor recreation that will provide short and long term benefits to the community include an improved boat ramp, continued shoreline habitat restoration, and a designated area for pre-treatment of stormwater runoff.	EGAN PARK	PINELLAS	10	0.7
FL	587	2011	BLACK BEAR WILDERNESS AREA	A	200,000.00	D	SEMINOLE COUNTY	Grant funds will be used to enhance the existing 1,650+/- acres of Seminole County Wilderness Area. An existing network of faised berms will be utilized to create an extensive loop trail by installing several foot bridges across berm breaches. This trail will provide easy public access to the majority of the wilderness area while offering excellent wildlife viewing opportunities and other activities including canoeing, fishing, camping and picnicking.	BLACK BEAR WILDERNESS AREA	SEMINOLE	7	1,650.00
FL	585	2011	INLAND GROVES PARK	A	107,804.00	D	CITY OF CLERMONT	Grant funds will be used to develop a 217+/- acres new park in the City of Clermont. There are no passive recreation parks within a 25 minute drive of Clermont community and within walking distance of historic downtown Clermont. Development will include a dog park, a playground and other related support facilities.	INLAND GROVES PARK	LAKE	5	217
FL	589	2011	INLAND GROVES PARK PHASE II	A	200,000.00	D	CITY OF CLERMONT	Grant funds will be used to develop the second phase of a 217+/- acres new park in the City of Clemont. There are no passive recreation parks within a 25 minute drive of Clemont community and within walking distance of historic downtown Clemont.	INLAND GROVES PARK	LAKE	5	217
FL	582	2011	TRAILHEAD PRESERVE	C	200,000.00	D	CITY OF FELLSMERE	Grant funds will be used to develop the existing 88.5± acres park in the City of Fellsmere. This project will be providing a compatible use with the St. Sebastian River Preserve State Park, a 22,000 acre preserve, which lies immediately to the north of the park. Development will include a playground, picnic pavilion, canoe launch, hiking trail and other related support facilities.	TRAILHEAD PRESERVE	INDIAN RIVER	15	88.5
FL	583	2011	JOHN PRINCE MEMORIAL PARK PHASE IV	A	200,000.00	D	PALM BEACH COUNTY	Grant funds will be used to develop and renovate the fourth phase of a 32.7± acres park in Palm Beach County. Development includes a canoe/kayak launch, bike path, and picnic facilities; renovation includes existing cricket field, volleyball court, picnic facilities, lakeside bike trail, and other related support facilities.	JOHN PRINCE MEMORIAL PARK	PALM BEACH	19	32.7
FL	581	2011	C.S. LEE PARK	A	200,000.00	D	SEMINOLE COUNTY	Grant funds will be used to develop and renovate the existing 17.34± acres park acres park in Seminole County. Replacement of floating dock and and addition of another dock will eliminate the need to routinely shutdown during high water. The site is a crucial mid-river access point for boats, canoes or kayaks to coonect to other points up and down St. Johns River.	C.S. LEE PARK	SEMINOLE	24	17.3
FL	580	2011	FORD STREET PRESERVE AT SHADY OAKS PARK	A	200,000.00	D	CITY OF FORT MYERS	Grant funds will be used to renovate and further develop an existing 9.0± acres park in the City of Fort Myers. The park has a very natural setting that supports a diverse wildlife population. Development will include picnic facilities, a boardwalk, and an exercise trail; renovation will include the fishing dock, the kayak launch, and walking trails.	SHADY OAKS PARK	LEE	14	9
