FY	ID No	Agency	Unit	CORE/CLP	States	Congress Dist	County	FY Budget Req	Enacted	Req Acres	Enacted Acres	Interest	Remaining Acres	Inholding (Y/N)	Description	O&M Startup	O&M Annual	Notes
2011	1	NPS	Petrified Forest National Park	Core	AZ	AZ-1	Apache and Navajo Counties	 7,540,000 	 5,100,000 	 35,960.00 	 24,000.00 	Fee	 12,205.00 	Y	"Description: The Act of December 3, 2004 (Public Law 108-430), revised the boundary of the park to include
an additional 125,000 acres of land, of which approximately 76,473 acres are privately owned. The act
authorized the Secretary of the Interior to acquire such privately owned land from a willing seller, by
donation, purchase with donated or appropriated funds, or exchange. The Service’s appropriation for 2010
included $4,575,000 for acquisition of Twin Buttes Ranch that was among the lands added to the park in
2004. This is the first funding to be directed to this project.
Natural/Cultural Resources Associated with Proposal: Petrified Forest National Park contains globally
significant fossil from the Late Triassic Period. The park is a virtual laboratory offering opportunities for
paleontological research and visitor understanding that are unparalleled. The conservation and protection
of the fossil resources, especially petrified wood (critical park resource) is the reason for the original
establishment of the park, while the protection of vast cultural resources (the secondary unit resource) is
a major focus and the intent of later expansion legislation.
Threat: Direct threats to natural and cultural resources in the proposed expansion area include theft and
vandalism of fragile and non-renewable archaeological and paleontological sites and resources. Although
these occurrences are all within the park’s congressionally approved administrative boundary, the park
currently has no jurisdiction over these lands and therefore non-renewable paleontological and
archaeological resources are unattended and subject to ongoing theft and vandalism.
Need: The funds requested would be used to complete acquisition of Twin Buttes Ranch and NZ Milky
Ranch. The remainder would be obligated to commence acquisition of the Paulsell Ranch that includes
numerous significant cultural sites including rock art panels, as well as structures from the Puebloan
period of southwest. This property also includes nine miles of the Puerco River Riparian area. The Puerco
River Riparian Area provides crucial habitat for many of the species found in this area from insects and
rodents to raptors and migrating elk.
Letters of support for this project have been received by the cities of Holbrook and Winslow, Arizona, the
State of Arizona, Arizona Department of Fish and Wildlife, the Navajo Nation, the Hopi Tribe, and the
Society of Vertebrate Paleontology.
This acquisition will serve to protect riparian habitat and watershed resources and preserves an
overarching natural landscape and significant American cultural and historic resources."	 N/A 	 N/A 	
2011	1	BLM	Santa Rosa And San Jacinto Mountains National Monument	Core	CA	CA-44	Riverside County	 500,000 	 500,000 	 160.00 	 160.00 	Fee	 24,080.00 	Y	"Partner: Friends of the Desert Mountains.

Cooperators: U.S. Forest Service, California Department of Fish and Game, Cities of Palm Desert, Palm Springs, Cathedral City, City of Rancho Mirage, Agua Caliente Band of Cahuilla Indians, Coachella Valley Mountains Conservancy, The Nature Conservancy.

Project Description: Providing a rugged backdrop to the gateway communities of Palm Springs, Palm Desert and La Quinta, the Santa Rosa and San Jacinto Mountains National Monument (NM) hosted approximately 1,500,000 visitors in 2008. However, rapid urbanization, immediately adjacent to the Monument, ironically is threatening the tremendous scenic and wildlife resource values, which helped to establish these resort communities in the early 1900’s.

Encompassing 272,000 acres, the Santa Rosa and San Jacinto Mountains NM is a series of steep escarpments, ranging from sea level to nearly 11,000 feet in elevation.  This undeveloped “island” is home to over 600 animal and plant species, residing within several distinct climatic zones. Numerous threatened and endangered species, including one of the nation’s largest herds of Peninsular bighorn sheep, the least Bell’s vireo, populations of desert tortoise and desert slender salamander, and unique fan palm oases, are found among the area’s perennial streams, springs and seeps. The Monument is within the Coachella Valley Multiple Species Habitat Conservation Plan.

The Monument is co-administered by the BLM and Forest Service (64,400 acres of the Monument lie within the San Bernardino National Forest). Three Wilderness areas, the 94,989-acre Santa Rosa Mountain Wilderness, administered by BLM, and the 19,695-acre Santa Rosa Wilderness and a portion of the 33,177-acre San Jacinto Wilderness, administered by the Forest Service are imbedded within the Monument boundary. The 2,683-mile Pacific Crest National Scenic Trail passes through the Monument.
Purpose
Conserve significant scenic, recreational, and wilderness resources within the Santa Rosa and San Jacinto Mountains National Monument. Increase recreational access/public use.
Purchase
Opportunities
Multiple properties facing immediate threat from high-density suburban/urban residential development and incompatible recreational use and demands.
"	 10,000 	 1,000 	
2011	2	NPS	Golden Gate National Recreation Area	Core	CA	CA-6, CA-8, CA-12, CA-14	Marin, San Francisco and San Mateo Counties	 6,057,500 	 4,100,000 	 1,500.00 	 1,000.00 	Fee	 2,422.00 	Y	"Description: Golden Gate National Recreation Area was authorized October 27, 1972, to preserve
outstanding historic, scenic, and recreational values. The Act of December 20, 2005 (Public Law 109-
131), revised the boundary to include approximately 4,500 acres of additional land known as the ‘Rancho
Corral de Tierra Additions’ and authorized the acquisition of those lands only from a willing seller. The
land features mountain peaks, coastal watersheds, threatened and endangered habitats, historic ranch
landscape and structures, and potential for recreational enjoyment related to trails. The tract provides a
key corridor to connect the Congressionally-designated Bay Area Ridge Trail with the California Coastal
Trail and is accessible to more than 6 million people who live within a one hour drive.
Natural/Cultural Resources Associated with Proposal: The national recreation area encompasses
shoreline areas of San Francisco, Marin, and San Mateo Counties, including ocean beaches, redwood
forest, lagoons, marshes, military properties, a cultural center at Fort Mason, and Alcatraz Island.
Threat: Intense pressure to develop open space in the San Francisco area threatens the integrity of the
national recreation area.
Need: In combination with previously appropriated funds, the requested funding level will be obligated to
complete the acquisition of a 4,076-acre, largely undeveloped parcel that was added to the national
recreation area in 2005. It is expected that the requested funds will permit acquisition of the final 1,500-
acre portion of the property. This property was privately owned until purchased for approximately $30
million in 2003 by Peninsula Open Space Trust, a non-profit conservation organization. In light of a
bargain sale offered by the Trust, the Federal share of the total acquisition cost is expected to be
approximately $15 million. The FY 2009 appropriation included $4,000,000 for the acquisition; the FY
2010 appropriation included an additional $5,000,000.
This acquisition project has seen strong local support. The matching funds raised by Peninsula Open
Space Trust are evidence of such support.
This acquisition will preserve an overarching natural landscape, in conjunction with NPS partners while
providing access to recreational opportunities and open space in a large urban environment."	 N/A 	 N/A 	
2011	3	NPS	Mojave National Preserve	Core	CA	CA-25 and CA-41	San Bernardino County	 1,250,000 	 876,000 	 846.00 	 584.00 	Fee	 25,857.00 	Y	"Description: The Act of October 31, 1994 established Mojave National Preserve and authorized acquisition
by donation, purchase, or exchange. As of December 31, 2009, the preserve contains a total of 1,535,199
acres, of which 26,703 acres are privately owned. .
Natural/Cultural Resources Associated with Proposal: The preserve protects the fragile habitat of the desert
tortoise, vast open spaces, and historic mining scenes such as the Kelso railroad depot.
Threat: Unchecked development threatens the significant natural, scenic, and archeological resources in the
core of the preserve and along the southern and eastern gateways.
Need: The requested funds will be used to acquire eight tracts totaling 846 acres that surround the park’s
main visitor use center within a significant designated historic district in the middle of the preserve. The
park’s enabling legislation recognized the importance of this historic district and specifically suggested
that the Kelso train depot be used as the new park’s central visitor center. The subject tracts carry a
threat of potential development that would destroy the historic scene and impact the district. Developers
for commercial and industrial uses are currently considering these parcels. In addition, due to natural
drainage in the vicinity of the historic depot, some private lands that lie between the depot and the
adjacent large desert wash may be instrumental to flood protection for the historic structures and other
historic resources.
This acquisition will serve to protect significant American cultural and historic resources and preserves an
overarching natural landscape in collaboration with other Federal agencies."	 N/A 	 N/A 	
2011	4	NPS	Santa Monica Mountains National Recreation Area	Core	CA	CA-23, CA-24, CA-27, CA-31	Los Angeles and Ventura Counties	 3,750,000 	 880,000 	 286.00 	 66.00 	Fee	 20,595.00 	Y	"Description: The national recreation area was authorized November 10, 1978, to protect and enhance the
scenic, natural, and historic values of the area, and to preserve its public health value as an airshed for
southern California metropolitan areas while providing recreational and educational opportunities. To date,
funds in the amount of $162,836,118 have been appropriated for land acquisition at the area. The State of
California and other conservation groups have also spent over $269.5 million for land acquisition within the
park boundaries. After fiscal year 2010, approximately 20,881 acres of privately owned land will remain to
be acquired.
Natural/Cultural Resources Associated with Proposal: The national recreation area contains excellent
examples of Mediterranean-type ecosystems not well represented in other areas of the National Park
System. There are outstanding landforms and habitats, and rare biological and geological resources. The
area provides natural habitat necessary to the survival of species such as the mountain lion. There are
abundant fossil deposits and outstanding scenery. Cultural resources include remnants of the Gabrielino
and Chumash cultures.
Threat: Residential and commercial developments threaten the resources of the area and reduce
recreational opportunities.
Need: The requested funds will permit the acquisition of 16 tracts totaling 286.01 acres of land within the
national recreation area needed to ensure the preservation of the 9,000-acre core habitat area in Zuma
and Trancas Canyons. If these tracts are developed as residential properties, the damage to the local
ecosystem would be irreversible. Removal of the undisturbed shrub community will open the way for
establishment of invasive non-native plant species.
Letters of support for these acquisitions have been provided by 12 local city governments (cities of
Malibu, Thousand Oaks, Westlake Village, Santa Monica, Los Angeles, Calabasas, Agoura Hills, Hidden
Hills, Beverly Hills, Wooden Hills, San Fernando, and Camarillo), State Senator Fran Pavley, State
Assembly Member Julia Brownley, and Los Angeles County Supervisor Zev Yaroslavsky.
This acquisition will serve to preserve an overarching natural landscape and provide recreational
opportunities and access to open space in an urban environment."	 N/A 	 N/A 	
2011	6	BLM	Carrizo Plain National Monument	Core	CA	CA-22	Kern and San Luis Obispo Counties	 2,200,000 	 1,300,000 	 2,853.00 	 1,680.00 	Fee	 26,000.00 	Y	"Project Description: The Carrizo Plain National Monument is a majestic 250,000-acre grassland and scenic mountainous preserve that contains the last remaining undeveloped remnant of the San Joaquin Valley ecosystem. As a result, it provides critical contiguous habitat for one of the largest assemblages of threatened and endangered species surviving on public lands in the United States, including the blunt-nosed leopard lizard, San Joaquin kit fox, giant kangaroo rat, Kern primrose sphinx moth, longhorn fairy shrimp, vernal pool fairy shrimp, California jewelflower, San Joaquin wooly threads, and the San Joaquin antelope squirrel. Within the vast expanse of the Carrizo Plain lies Painted Rock, an important ceremonial site of the Chumash that rises majestically from the surrounding grassland. In addition, the Monument contains other world-class archaeological sites, which are part of a current nomination as a National Historic Landmark. Soda Lake, a glistening bed of white salt in the dry summer and the largest alkali wetland remaining in Southern California, provides important habitat for migratory birds during the winter. Those interested in geology can see one of the most spectacular sections of the 800-mile long San Andreas Fault with its complex corrugated topography along the edge of the Plain. 

The Monument’s diversity and proximity to over 20 million people living in Southern and Central California attracts over 75,000 visitors annually who come to enjoy a variety of recreational activities. Those stopping at the Goodwin Education Center or taking guided tours to Painted Rock or the San Andreas Fault can share in the rich history of the Carrizo Plain and learn about its unique plant and animal life."	 5,000 	 1,000 	
2011	8	BLM	California Wilderness	Core	CA	CA-1	Mendocino County	 1,800,000 	 1,800,000 	 595.00 	 595.00 	Fee	 325,000.00 	Y	"Project Description: There are 88 designated Wilderness units encompassing over 3.9 million acres of public land in California. The first 69 Wilderness units were designated in southern California with the passage of the California Desert Protection Act of 1994. Subsequently the Otay Mountain Wilderness Act, Big Sur Wilderness and Conservation Act of 2002, Northern California Coastal Wild Heritage Act of 2006, and most recently the Omnibus Public Lands Management Act of 2009 have designated 19 additional Wilderness units on BLM lands in California. These Wilderness units stretch from the north coast of California to the peaks of the Sierra Nevada to lands along the Mexican border. 

Over 37 million people are now living in California. These Wilderness units offer places of solitude where people can experience freedom from our fast-paced industrialized society. They are places where people can renew the human spirit through association with the natural world and offer a respite from the pressure of an ever increasing urban lifestyle. 

More than half of the South Fork Eel River Wilderness is characterized by reddish soil. This unusual soil has resulted in a unique vegetation cover with several Federally and State protected botanical species, including endangered, candidate, and BLM sensitive species. The Red Mountain and Cedar Creek drainages dominate the Wilderness and are tributaries to the South Fork Eel River. 
"	 5,000 	 1,000 	
2011	9	FWS	San Joaquin River National Wildlife Refuge	Core	CA	CA-18	San Joaquin, Stanislaus	 2,500,000 	 2,000,000 	 208.00 	 166.00 	Easement	 3,258.00 	Y	"Purpose of Acquisition: To protect native grasslands and wetlands essential for the long-term survival of
the Aleutian Canada goose. It would also protect a large piece of riparian habitat valuable to a variety of
wildlife species.
Project Cooperators: State of California CALFED Bay Delta Grant Program
Project Description: The Service would use funds to acquire a conservation easement on two tracts
consisting of approximately 208 acres, from private landowners. These properties are predominantly
native, irrigated pasture and would be protected by means of a perpetual conservation easement. The
biggest threat to this habitat is residential development and the conversion from grasslands and wetlands
habitat to croplands, orchards, or dairy operations that would provide little or no benefit to wildlife. The
acquisition of these properties would provide long-term viability to the grassland and wetland ecosystem
as well as provide a safe haven for migratory birds and other wildlife species."	 -   	 -   	
2011	12	FWS	Grasslands WMA	Core	CA	CA-18	Merced	 4,000,000 	 1,369,000 	 1,648.00 	 564.00 	Fee	 40,568.00 	Y	"Purpose of Acquisition: To protect important wintering area for the Pacific Flyway waterfowl
populations.
Project Cooperators: State of California
Project Description: The Service would use funds to acquire fee title for five tracts consisting of
approximately 1,648 acres. These properties are predominantly low lying, with a portion of, irrigated
pasture and the Service would protect them by means of a perpetual conservation easement. The biggest
threat is residential development and the conversion from grasslands, wetlands, and riparian habitat to
croplands, orchards, or dairy operations that would provide little or no benefit to wildlife. The acquisition
of these properties would provide long-term viability to the grassland ecosystem as well as provide a safe
haven for migratory birds and other wildlife species."	 -   	 -   	
2011	15	FWS	San Diego National Wildlife Refuge	Core	CA	CA-50, CA-51, CA-52	San Diego	 1,500,000 	 385,000 	 80.00 	 20.00 	Fee	 29,234.00 	Y	"Purpose of Acquisition: To resume the U. S. Fish and Wildlife Service’s (Service) participation in an
extremely successful federal, state and local land conservation partnership.
Project Cooperators: State of California and Trust for Public Lands
Project Description: The San Diego National Wildlife Refuge (NWR) was established to protect and
manage key habitat for several endangered, threatened, and rare species, and to provide a Federal
contribution to the regional Multiple Species Conservation Plan (MSCP). The funding would provide for
the acquisition of fee title for four tracts consisting of approximately 80 acres. The acquisition of these
lands would continue the Service’s efforts to cooperate with more than a dozen local jurisdictions, the
California Department of Fish and Game, and many private landowners to permanently protect 172,000
acres of natural habitat within a 582,000-acre planning area. This partnership would assist in the recovery
efforts of listed species by restoring habitat on acquired lands and provide wildlife experiences and
environmental education opportunities for nearly 3 million people that live in the area. Refuge land
acquisitions not only help meet Federal, State and local natural resource goals, but may also reduce the
need for additional listings under the Federal and State Endangered Species Acts."	 197,500 	 -   	"O & M Costs: The Service estimates that the annual costs and any associated restoration costs would be
$197,500, which the Service would fund out of Refuge System base funding."
