Year	State	County	FIPS	Jobs	Total	Percent
2007	Alabama		01000	8176	1952091	0.4
2007	Alabama	Autauga County	01001	43	11403	0.4
2007	Alabama	Baldwin County	01003	42	62600	0.1
2007	Alabama	Barbour County	01005	121	10711	1.1
2007	Alabama	Choctaw County	01023	14	3853	0.4
2007	Alabama	Colbert County	01033	104	21567	0.5
2007	Alabama	Dallas County	01047	40	15360	0.3
2007	Alabama	Elmore County	01051	64	17666	0.4
2007	Alabama	Escambia County	01053	150	12684	1.2
2007	Alabama	Fayette County	01057	77	4890	1.6
2007	Alabama	Franklin County	01059	68	11001	0.6
2007	Alabama	Jackson County	01071	75	17386	0.4
2007	Alabama	Jefferson County	01073	1420	363606	0.4
2007	Alabama	Lee County	01081	64	49654	0.1
2007	Alabama	Macon County	01087	46	5856	0.8
2007	Alabama	Madison County	01089	80	177379	0.0
2007	Alabama	Mobile County	01097	425	174174	0.2
2007	Alabama	Montgomery County	01101	71	139204	0.1
2007	Alabama	Morgan County	01103	100	49613	0.2
2007	Alabama	Shelby County	01117	483	76848	0.6
2007	Alabama	Talladega County	01121	434	29817	1.5
2007	Alabama	Tuscaloosa County	01125	2636	86375	3.1
2007	Alabama	Walker County	01127	539	18809	2.9
2007	Alaska		02000	13759	310810	4.4
2007	Alaska	Anchorage Borough	02020	2545	145892	1.7
2007	Alaska	Fairbanks North Star Borough	02090	1116	36809	3.0
2007	Alaska	Juneau Borough	02110	424	17488	2.4
2007	Alaska	Kenai Peninsula Borough	02122	995	18045	5.5
2007	Alaska	Matanuska-Susitna Borough	02170	31	17758	0.2
2007	Alaska	North Slope Borough	02185	7496	11894	63.0
2007	Alaska	Valdez-Cordova Census Area	02261	31	4650	0.7
2007	Arizona		04000	11449	2647691	0.4
2007	Arizona	Cochise County	04003	59	38213	0.2
2007	Arizona	Coconino County	04005	91	59539	0.2
2007	Arizona	Gila County	04007	751	14681	5.1
2007	Arizona	Maricopa County	04013	1987	1822037	0.1
2007	Arizona	Mohave County	04015	153	53104	0.3
2007	Arizona	Navajo County	04017	557	28742	1.9
2007	Arizona	Pima County	04019	1802	373728	0.5
2007	Arizona	Pinal County	04021	1245	53283	2.3
2007	Arizona	Yavapai County	04025	1254	63910	2.0
2007	Arkansas		05000	6837	1173852	0.6
2007	Arkansas	Carroll County	05015	17	9982	0.2
2007	Arkansas	Cleburne County	05023	37	6889	0.5
2007	Arkansas	Columbia County	05027	494	9499	5.2
2007	Arkansas	Conway County	05029	76	6927	1.1
2007	Arkansas	Craighead County	05031	26	41698	0.1
2007	Arkansas	Crawford County	05033	418	19988	2.1
2007	Arkansas	Faulkner County	05045	609	39406	1.5
2007	Arkansas	Garland County	05051	198	37366	0.5
2007	Arkansas	Grant County	05053	45	3891	1.2
2007	Arkansas	Greene County	05055	13	15045	0.1
2007	Arkansas	Hot Spring County	05059	75	8030	0.9
2007	Arkansas	Independence County	05063	61	16069	0.4
2007	Arkansas	Lafayette County	05073	80	1435	5.6
2007	Arkansas	Lawrence County	05075	80	4146	1.9
2007	Arkansas	Logan County	05083	138	6210	2.2
2007	Arkansas	Ouachita County	05103	96	7770	1.2
2007	Arkansas	Pope County	05115	44	27491	0.2
2007	Arkansas	Pulaski County	05119	577	249573	0.2
2007	Arkansas	Sebastian County	05131	1581	74000	2.1
2007	Arkansas	Union County	05139	305	19673	1.6
2007	Arkansas	Van Buren County	05141	28	3757	0.7
2007	Arkansas	Washington County	05143	120	92340	0.1
