region,id,name
Offshore Alaska,ALA,Aleutian Arc
Offshore Alaska,ALB,Aleutian Basin
Offshore Alaska,BFT,Beaufort Sea
Offshore Alaska,BOW,Bowers Basin
Offshore Alaska,CHU,Chukchi Sea
Offshore Alaska,COK,Cook Inlet
Offshore Alaska,GEO,St. George Basin
Offshore Alaska,GOA,Gulf of Alaska
Offshore Alaska,HOP,Hope Basin
Offshore Alaska,KOD,Kodiak
Offshore Alaska,MAT,St. Matthew-Hall
Offshore Alaska,NAL,North Aleutian Basin
Offshore Alaska,NAV,Navarin Basin
Offshore Alaska,NOR,Norton Basin
Offshore Alaska,SHU,Shumagin
Atlantic,FLS,Florida Straits
Atlantic,MDA,Mid Atlantic
Atlantic,NOA,North Atlantic
Atlantic,SOA,South Atlantic
Gulf,CGM,Central Gulf of Mexico
Gulf,EGM,Eastern Gulf of Mexico
Gulf,WGM,Western Gulf of Mexico
Pacific,CEC,Central California
Pacific,NOC,Northern California
Pacific,SOC,Southern California
Pacific,WAO,Washington-Oregon
