Fiscal Year,Land Class,Revenue Type,Mineral Lease Type,Commodity,Product,Revenue
2003,Native American,Other Revenues,Coal,Coal,,"-$6,880,199.30"
2003,Native American,Other Revenues,Coal,Coal,,"$78,785.74"
2003,Native American,Other Revenues,Copper,Copper,,"$1,130,537.89"
2003,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$37,707.87"
2003,Native American,Other Revenues,Oil & Gas,Gas,Flash Gas,-$2.37
2003,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$216,053.90"
2003,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$41,925.71"
2003,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$92,730.42"
2003,Native American,Other Revenues,Oil & Gas,Oil,Inlet Scrubber,-$0.04
2003,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$41,023.35"
2003,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$581,166.56"
2003,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$2,411,395.68"
2003,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"$150,785.90"
2003,Native American,Rents,Coal,Coal,,"-$279,686.72"
2003,Native American,Rents,Copper,Copper,,"$6,734.37"
2003,Native American,Rents,Gypsum,Gypsum,,"$1,040.00"
2003,Native American,Rents,Oil & Gas,Oil & Gas,,"$235,136.51"
2003,Native American,Rents,Oil & Gas,Oil & Gas,,"$818,055.22"
2003,Native American,Rents,Sand & Gravel,Sand & Gravel,,$688.40
2003,Native American,Royalties,Cinders,Cinders,Cinders,"$8,172.75"
2003,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$5,814.85"
2003,Native American,Royalties,Coal,Coal,Coal,"$54,966,177.94"
2003,Native American,Royalties,Copper,Copper,Copper Concentrate,"$985,357.16"
2003,Native American,Royalties,Oil & Gas,Gas,Flash Gas,$27.53
2003,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,$500.30
2003,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$39,050.17"
2003,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$11,256,760.97"
2003,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$14,500,486.09"
2003,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$131,119,374.51"
2003,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$1,007,212.68"
2003,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$4,541,612.80"
2003,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,$489.08
2003,Native American,Royalties,Oil & Gas,Oil,Condensate,"$6,371,715.58"
2003,Native American,Royalties,Oil & Gas,Oil,Oil,"$40,689,663.17"
2003,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$230,662.34"
2003,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$3,347,684.97"
2003,Native American,Royalties,Oil & Gas,Sulfur,Sulfur,-$1.52
2004,Native American,Other Revenues,Coal,Coal,,"$33,097.94"
2004,Native American,Other Revenues,Coal,Coal,,"$5,879,994.23"
2004,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$33,435.89"
2004,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$26,545.56"
2004,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$34,274.47"
2004,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$107,762.77"
2004,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$36,945.30"
2004,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$3,476,428.64"
2004,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$12,973,718.50"
2004,Native American,Other Revenues,Phosphate,Phosphate,,"$1,500.00"
2004,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"$236,250.00"
2004,Native American,Rents,Coal,Coal,,"$87,049.92"
2004,Native American,Rents,Copper,Copper,,"$2,554.37"
2004,Native American,Rents,Oil & Gas,Oil & Gas,,"$240,148.79"
2004,Native American,Rents,Oil & Gas,Oil & Gas,,"$691,966.66"
2004,Native American,Rents,Phosphate,Phosphate,,$300.00
2004,Native American,Rents,Sand & Gravel,Sand & Gravel,,"$26,037.11"
2004,Native American,Royalties,Cinders,Cinders,Cinders,"$7,071.75"
2004,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$4,091,472.78"
2004,Native American,Royalties,Coal,Coal,Coal,"$99,806,434.78"
2004,Native American,Royalties,Copper,Copper,Copper Concentrate,"$4,823,031.87"
2004,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,$603.26
2004,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$36,975.24"
2004,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$12,789,718.74"
2004,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$64,293,022.29"
2004,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$123,255,929.74"
2004,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$1,158,603.05"
2004,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$5,371,754.89"
2004,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$37,014.13"
2004,Native American,Royalties,Oil & Gas,Oil,Condensate,"$2,012,524.93"
2004,Native American,Royalties,Oil & Gas,Oil,Oil,"$52,053,098.59"
2004,Native American,Royalties,Phosphate,Phosphate,Ferro Phosphorous Slag,"$16,100.09"
2004,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$417,488.19"
2004,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$3,787,025.56"
2005,Native American,Other Revenues,Coal,Coal,,"$227,675.58"
2005,Native American,Other Revenues,Copper,Copper,,"$3,202.34"
2005,Native American,Other Revenues,Copper,Copper,,"$1,602,240.00"
2005,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$20,071.36"
2005,Native American,Other Revenues,Oil & Gas,Gas,Flash Gas,-$237.00
2005,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$91,501.88"
2005,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$29,618.37"
2005,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$161,578.75"
2005,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$41,892.44"
2005,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$915,073.22"
2005,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$4,351,726.69"
2005,Native American,Other Revenues,Phosphate,Phosphate,,"$2,400.00"
2005,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"$193,975.00"
2005,Native American,Rents,Coal,Coal,,"$252,049.28"
2005,Native American,Rents,Copper,Copper,,"$1,994.37"
2005,Native American,Rents,Gypsum,Gypsum,,"$1,055.00"
2005,Native American,Rents,Oil & Gas,Oil & Gas,,"$199,683.37"
2005,Native American,Rents,Oil & Gas,Oil & Gas,,"$690,878.97"
2005,Native American,Rents,Phosphate,Phosphate,,$400.00
2005,Native American,Rents,Sand & Gravel,Sand & Gravel,,$528.40
2005,Native American,Royalties,Cinders,Cinders,Cinders,"$9,297.00"
2005,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$5,068,734.17"
2005,Native American,Royalties,Coal,Coal,Coal,"$79,668,355.13"
2005,Native American,Royalties,Copper,Copper,Clay,$962.34
2005,Native American,Royalties,Copper,Copper,Copper Concentrate,"$4,687,185.72"
2005,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,$542.36
2005,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$48,204.62"
2005,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$15,465,471.73"
2005,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$86,868,416.04"
2005,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$155,398,745.65"
2005,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$980,290.84"
2005,Native American,Royalties,Oil & Gas,Helium,Helium,"$92,215.94"
2005,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$6,864,955.63"
2005,Native American,Royalties,Oil & Gas,Oil,Inlet Scrubber,"-$37,328.38"
2005,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$30,243.19"
2005,Native American,Royalties,Oil & Gas,Oil,Condensate,"$2,741,093.22"
2005,Native American,Royalties,Oil & Gas,Oil,Oil,"$74,174,315.91"
2005,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$365,442.25"
2005,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$2,308,259.00"
2006,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$169,991.42"
2006,Native American,Other Revenues,Phosphate,Phosphate,,"$1,200.00"
2006,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$41,729.95"
2006,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$44,540.07"
2006,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$88,621.48"
2006,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$261,274.70"
2006,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"$597,531.38"
2006,Native American,Other Revenues,Copper,Copper,,"$3,950,000.00"
2006,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$17,654,973.35"
2006,Native American,Other Revenues,Coal,Coal,,"$25,014,649.80"
2006,Native American,Rents,Phosphate,Phosphate,,$200.00
2006,Native American,Rents,Gypsum,Gypsum,,"$1,055.00"
2006,Native American,Rents,Copper,Copper,,"$6,174.37"
2006,Native American,Rents,Coal,Coal,,"$238,681.20"
2006,Native American,Rents,Oil & Gas,Oil & Gas (Non Royalty),,"$1,071,092.05"
2006,Native American,Royalties,Oil & Gas,Oil,Inlet Scrubber,$220.94
2006,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,$652.01
2006,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$5,790.49"
2006,Native American,Royalties,Cinders,Cinders,Cinders,"$9,418.50"
2006,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$19,085.18"
2006,Native American,Royalties,Oil & Gas,Helium,Helium,"$28,388.50"
2006,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$75,086.10"
2006,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$189,093.61"
2006,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$967,458.20"
2006,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$1,476,954.22"
2006,Native American,Royalties,Oil & Gas,Oil,Condensate,"$2,614,624.72"
2006,Native American,Royalties,Copper,Copper,Copper Concentrate,"$3,655,009.06"
2006,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$8,102,620.40"
2006,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$19,194,464.36"
2006,Native American,Royalties,Coal,Coal,Coal,"$88,890,658.83"
2006,Native American,Royalties,Oil & Gas,Oil,Oil,"$96,282,107.52"
2006,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$100,879,190.44"
2006,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$220,462,738.72"
2007,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"-$332,645.00"
2007,Native American,Other Revenues,Oil & Gas,Oil & Gas,Oil,"-$136,048.61"
2007,Native American,Other Revenues,Oil & Gas,Oil & Gas,Unprocessed (Wet) Gas,"-$25,040.61"
2007,Native American,Other Revenues,Phosphate,Phosphate,,"$1,200.00"
2007,Native American,Other Revenues,Chat,Chat,,"$3,254.33"
2007,Native American,Other Revenues,Oil & Gas,Oil & Gas,Gas Plant Products,"$28,774.10"
2007,Native American,Other Revenues,Oil & Gas,Oil & Gas,Condensate,"$37,521.86"
2007,Native American,Other Revenues,Oil & Gas,Oil & Gas,Processed (Residue) Gas,"$51,015.64"
2007,Native American,Other Revenues,Copper,Copper,,"$1,215,897.65"
2007,Native American,Other Revenues,Coal,Coal,Coal,"$4,134,043.30"
2007,Native American,Other Revenues,Coal,Coal,,"$11,137,721.40"
2007,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$27,855,748.74"
2007,Native American,Rents,Sand & Gravel,Sand & Gravel,,"-$479,471.60"
2007,Native American,Rents,Phosphate,Phosphate,,$200.00
2007,Native American,Rents,Copper,Copper,,"$1,994.37"
2007,Native American,Rents,Gypsum,Gypsum,,"$3,195.00"
2007,Native American,Rents,Coal,Coal,,"$201,269.20"
2007,Native American,Rents,Oil & Gas,Oil & Gas (Non Royalty),,"$999,925.96"
2007,Native American,Royalties,Oil & Gas,,,-$562.92
2007,Native American,Royalties,Oil & Gas,Sulfur,Sulfur,-$1.96
2007,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,$58.80
2007,Native American,Royalties,Oil & Gas,Oil,Inlet Scrubber,"$1,907.47"
2007,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand & Gravel,"$2,782.50"
2007,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$3,158.24"
