Year	State	Jobs	Total	Share
2004	AL	7370	1851769	0.0040
2004	AK	9693	296292	0.0327
2004	AZ	8224	2354660	0.0035
2004	AR	3932	1129018	0.0035
2004	CA	21239	14953022	0.0014
2004	CO	14374	2142352	0.0067
2004	CT	722	1631240	0.0004
2004	DE	73	411298	0.0002
2004	FL	5307	7463255	0.0007
2004	GA	7054	3840663	0.0018
2004	HI	278	585131	0.0005
2004	ID	1937	591355	0.0033
2004	IL	9182	5700643	0.0016
2004	IN	6654	2848873	0.0023
2004	IA	2037	1422454	0.0014
2004	KS	7039	1296618	0.0054
2004	KY	19098	1729015	0.0110
2004	LA	41889	1865164	0.0225
2004	ME	109	597238	0.0002
2004	MD	1522	2459362	0.0006
2004	MA	1827	3138738	0.0006
2004	MI	6488	4301743	0.0015
2004	MN	5215	2600360	0.0020
2004	MS	4842	1105915	0.0044
2004	MO	4382	2627401	0.0017
2004	MT	6093	403432	0.0151
2004	NE	1339	882263	0.0015
2004	NV	9560	1145762	0.0083
2004	NH	522	613310	0.0009
2004	NJ	1561	3873787	0.0004
2004	NM	15010	760449	0.0197
2004	NY	4712	8271927	0.0006
2004	NC	3519	3777872	0.0009
2004	ND	3538	321108	0.0110
2004	OH	11018	5292088	0.0021
2004	OK	31000	1427618	0.0217
2004	OR	1884	1595003	0.0012
2004	PA	18000	5496599	0.0033
2004	RI	188	475628	0.0004
2004	SC	1550	1789447	0.0009
2004	SD	756	369632	0.0020
2004	TN	3099	2644749	0.0012
2004	TX	151137	9323537	0.0162
2004	UT	7080	1071855	0.0066
2004	VT	763	298454	0.0026
2004	VA	8264	3495767	0.0024
2004	WA	3204	2694933	0.0012
2004	WV	22547	686936	0.0328
2004	WI	2880	2714847	0.0011
2004	WY	20192	248051	0.0814
2005	AL	8054	1894616	0.0043
2005	AK	10518	302330	0.0348
2005	AZ	548	2489462	0.0002
2005	AZ	8477	2489462	0.0034
2005	AR	4144	1147615	0.0036
2005	CA	22083	15234188	0.0014
2005	CO	17007	2189516	0.0078
2005	CT	706	1644274	0.0004
2005	FL	5369	7747729	0.0007
2005	GA	6948	3932315	0.0018
