year	naics	commodity	state	county	fips	jobs	pay
2008	10	All	Alabama		01000	1936489	38734
2008	10	All	Alabama	Autauga County	01001	11273	30875
2008	10	All	Alabama	Baldwin County	01003	62612	30780
2008	10	All	Alabama	Barbour County	01005	10321	29424
2008	10	All	Alabama	Bibb County	01007	4231	31049
2008	10	All	Alabama	Blount County	01009	9095	29129
2008	10	All	Alabama	Bullock County	01011	3001	29510
2008	10	All	Alabama	Butler County	01013	6629	27798
2008	10	All	Alabama	Calhoun County	01015	50350	36227
2008	10	All	Alabama	Chambers County	01017	8113	30084
2008	10	All	Alabama	Cherokee County	01019	5250	29117
2008	10	All	Alabama	Chilton County	01021	8923	29015
2008	10	All	Alabama	Choctaw County	01023	3665	43281
2008	10	All	Alabama	Clarke County	01025	9169	31884
2008	10	All	Alabama	Clay County	01027	4313	27732
2008	10	All	Alabama	Cleburne County	01029	2576	32881
2008	10	All	Alabama	Coffee County	01031	14657	28466
2008	10	All	Alabama	Colbert County	01033	22078	36427
2008	10	All	Alabama	Conecuh County	01035	3841	30886
2008	10	All	Alabama	Coosa County	01037	1648	30922
2008	10	All	Alabama	Covington County	01039	13193	29013
2008	10	All	Alabama	Crenshaw County	01041	3553	29220
2008	10	All	Alabama	Cullman County	01043	27351	31711
2008	10	All	Alabama	Dale County	01045	18335	42052
2008	10	All	Alabama	Dallas County	01047	14817	31449
2008	10	All	Alabama	DeKalb County	01049	23160	29897
2008	10	All	Alabama	Elmore County	01051	18110	30299
2008	10	All	Alabama	Escambia County	01053	12630	32044
2008	10	All	Alabama	Etowah County	01055	35785	31718
2008	10	All	Alabama	Fayette County	01057	4541	26885
2008	10	All	Alabama	Franklin County	01059	10467	28631
2008	10	All	Alabama	Geneva County	01061	6137	25359
2008	10	All	Alabama	Greene County	01063	2283	30931
2008	10	All	Alabama	Hale County	01065	3256	29880
2008	10	All	Alabama	Henry County	01067	3852	33149
2008	10	All	Alabama	Houston County	01069	49263	33899
2008	10	All	Alabama	Jackson County	01071	17152	30610
2008	10	All	Alabama	Jefferson County	01073	359189	45946
2008	10	All	Alabama	Lamar County	01075	3630	31643
2008	10	All	Alabama	Lauderdale County	01077	30647	28963
2008	10	All	Alabama	Lawrence County	01079	6289	38657
2008	10	All	Alabama	Lee County	01081	49332	32651
2008	10	All	Alabama	Limestone County	01083	22485	39873
2008	10	All	Alabama	Lowndes County	01085	3118	35338
2008	10	All	Alabama	Macon County	01087	6065	32075
2008	10	All	Alabama	Madison County	01089	182380	48359
2008	10	All	Alabama	Marengo County	01091	7390	31648
2008	10	All	Alabama	Marion County	01093	10861	29404
2008	10	All	Alabama	Marshall County	01095	36884	28987
2008	10	All	Alabama	Mobile County	01097	175339	38180
2008	10	All	Alabama	Montgomery County	01101	138057	39098
2008	10	All	Alabama	Morgan County	01103	49261	36625
2008	10	All	Alabama	Perry County	01105	2340	26982
2008	10	All	Alabama	Pickens County	01107	4066	28496
2008	10	All	Alabama	Pike County	01109	14294	31474
2008	10	All	Alabama	Randolph County	01111	5528	28385
2008	10	All	Alabama	Russell County	01113	12701	31922
2008	10	All	Alabama	St. Clair County	01115	17136	30734
2008	10	All	Alabama	Shelby County	01117	75635	43006
2008	10	All	Alabama	Sumter County	01119	3566	30614
2008	10	All	Alabama	Talladega County	01121	28667	38540
2008	10	All	Alabama	Tallapoosa County	01123	13894	30747
2008	10	All	Alabama	Tuscaloosa County	01125	86362	38439
2008	10	All	Alabama	Walker County	01127	18974	31087
2008	10	All	Alabama	Washington County	01129	3901	50040
2008	10	All	Alabama	Wilcox County	01131	2957	34331
2008	10	All	Alabama	Winston County	01133	8309	28035
2008	10	All	Alaska		02000	315285	45805
2008	10	All	Alaska	Aleutian East Borough	02013	1929	31495
2008	10	All	Alaska	Aleutian West Census Area	02016	3657	40170
2008	10	All	Alaska	Anchorage Borough	02020	147933	48379
2008	10	All	Alaska	Bethel Census Area	02050	6521	33744
2008	10	All	Alaska	Bristol Bay Borough	02060	1269	41570
2008	10	All	Alaska	Denali Borough	02068	2234	38095
2008	10	All	Alaska	Dillingham Census Area	02070	2497	33970
2008	10	All	Alaska	Fairbanks North Star Borough	02090	36868	44225
2008	10	All	Alaska	Haines Borough	02100	962	31082
2008	10	All	Alaska	Hoonah-Angoon Census Area	02105	748	30098
2008	10	All	Alaska	Juneau Borough	02110	17649	41889
2008	10	All	Alaska	Kenai Peninsula Borough	02122	18249	39432
2008	10	All	Alaska	Ketchikan Gateway Borough	02130	7173	38559
2008	10	All	Alaska	Kodiak Island Borough	02150	5688	37680
2008	10	All	Alaska	Lake and Peninsula Borough	02164	751	37911
