year	naics	commodity	state	county	fips	jobs	pay
2010	10	All	Alabama		01000	1813155	40289
2010	10	All	Alabama	Autauga County	01001	10694	31748
2010	10	All	Alabama	Baldwin County	01003	58140	31189
2010	10	All	Alabama	Barbour County	01005	9382	30272
2010	10	All	Alabama	Bibb County	01007	4030	33123
2010	10	All	Alabama	Blount County	01009	8291	29167
2010	10	All	Alabama	Bullock County	01011	2972	29512
2010	10	All	Alabama	Butler County	01013	6391	28961
2010	10	All	Alabama	Calhoun County	01015	46488	37191
2010	10	All	Alabama	Chambers County	01017	7479	30681
2010	10	All	Alabama	Cherokee County	01019	4821	29807
2010	10	All	Alabama	Chilton County	01021	8238	30017
2010	10	All	Alabama	Choctaw County	01023	3540	44581
2010	10	All	Alabama	Clarke County	01025	8168	34197
2010	10	All	Alabama	Clay County	01027	3702	28836
2010	10	All	Alabama	Cleburne County	01029	2372	34430
2010	10	All	Alabama	Coffee County	01031	14686	29310
2010	10	All	Alabama	Colbert County	01033	21417	38757
2010	10	All	Alabama	Conecuh County	01035	3239	31312
2010	10	All	Alabama	Coosa County	01037	1373	33057
2010	10	All	Alabama	Covington County	01039	12327	31633
2010	10	All	Alabama	Crenshaw County	01041	3568	31453
2010	10	All	Alabama	Cullman County	01043	25257	32961
2010	10	All	Alabama	Dale County	01045	18248	46972
2010	10	All	Alabama	Dallas County	01047	13278	32448
2010	10	All	Alabama	DeKalb County	01049	20769	31446
2010	10	All	Alabama	Elmore County	01051	17681	31000
2010	10	All	Alabama	Escambia County	01053	12268	33823
2010	10	All	Alabama	Etowah County	01055	33707	33218
2010	10	All	Alabama	Fayette County	01057	3982	28039
2010	10	All	Alabama	Franklin County	01059	10125	30222
2010	10	All	Alabama	Geneva County	01061	5077	28000
2010	10	All	Alabama	Greene County	01063	1949	32453
2010	10	All	Alabama	Hale County	01065	2905	30746
2010	10	All	Alabama	Henry County	01067	3286	33394
2010	10	All	Alabama	Houston County	01069	46551	35555
2010	10	All	Alabama	Jackson County	01071	15704	32217
2010	10	All	Alabama	Jefferson County	01073	331416	46724
2010	10	All	Alabama	Lamar County	01075	3124	31419
2010	10	All	Alabama	Lauderdale County	01077	29690	29866
2010	10	All	Alabama	Lawrence County	01079	5921	39936
2010	10	All	Alabama	Lee County	01081	47099	33217
2010	10	All	Alabama	Limestone County	01083	20051	40387
2010	10	All	Alabama	Lowndes County	01085	2636	37350
2010	10	All	Alabama	Macon County	01087	5325	35766
2010	10	All	Alabama	Madison County	01089	178623	51940
2010	10	All	Alabama	Marengo County	01091	6891	33458
2010	10	All	Alabama	Marion County	01093	9142	31309
2010	10	All	Alabama	Marshall County	01095	34021	30612
2010	10	All	Alabama	Mobile County	01097	165715	40095
2010	10	All	Alabama	Montgomery County	01101	129345	40850
2010	10	All	Alabama	Morgan County	01103	45136	38118
2010	10	All	Alabama	Perry County	01105	2203	29250
2010	10	All	Alabama	Pickens County	01107	3810	30639
2010	10	All	Alabama	Pike County	01109	13674	34053
2010	10	All	Alabama	Randolph County	01111	4639	28962
2010	10	All	Alabama	Russell County	01113	12687	32688
2010	10	All	Alabama	St. Clair County	01115	15751	32150
2010	10	All	Alabama	Shelby County	01117	70429	42771
2010	10	All	Alabama	Sumter County	01119	3214	32211
2010	10	All	Alabama	Talladega County	01121	25742	39737
2010	10	All	Alabama	Tallapoosa County	01123	12369	31164
2010	10	All	Alabama	Tuscaloosa County	01125	82338	40198
2010	10	All	Alabama	Walker County	01127	17768	32380
2010	10	All	Alabama	Washington County	01129	4142	51399
2010	10	All	Alabama	Wilcox County	01131	2508	38772
2010	10	All	Alabama	Winston County	01133	6860	28127
2010	10	All	Alaska		02000	316691	48230
2010	10	All	Alaska	Aleutian East Borough	02013	1824	33067
2010	10	All	Alaska	Aleutian West Census Area	02016	3509	40791
2010	10	All	Alaska	Anchorage Borough	02020	148252	50853
2010	10	All	Alaska	Bethel Census Area	02050	6665	36920
2010	10	All	Alaska	Bristol Bay Borough	02060	1347	43089
2010	10	All	Alaska	Denali Borough	02068	1871	44372
2010	10	All	Alaska	Dillingham Census Area	02070	2541	36865
2010	10	All	Alaska	Fairbanks North Star Borough	02090	37132	46555
2010	10	All	Alaska	Haines Borough	02100	974	32952
