State	BLM	FS	FWS	NPS	DOD
Alabama	2,753	670,092	32,334	17,405	121,442
Alaska	72,363,733	22,207,400	76,673,836	52,431,579	126,551
Arizona	12,204,369	11,204,428	1,683,348	2,644,964	327,198
Arkansas	1,075	2,592,377	375,038	98,287	84,908
California	15,343,828	20,747,885	291,640	7,583,469	1,897,978
Colorado	8,335,703	14,482,727	174,230	661,472	216,520
Connecticut	0	23	1,522	5,719	1,487
Delaware	0	0	25,543	890	3,431
Dist.	of	Col.	0	0	0	6,975	1,207
Florida	351	1,193,051	281,986	2,469,065	655,466
Georgia	0	867,761	482,942	39,781	83,741
Hawaii	0	0	299,318	a	357,814	163,592
Idaho	11,612,848	20,444,413	49,652	511,600	3,118
Illinois	0	304,480	89,765	12	17,129
Indiana	0	203,048	15,590	10,748	154,979
Iowa	0	0	71,490	2,708	47,878
Kansas	0	108,635	29,509	462	134,381
Kentucky	0	819,439	11,695	94,678	168,223
Louisiana	738	608,441	572,662	16,799	127,141
Maine	0	53,880	68,606	66,966	21,673
Maryland	548	0	48,100	41,041	108,205
Massachusetts	0	0	22,696	32,960	6,146
Michigan	0	2,873,920	115,692	631,846	11,865
Minnesota	1,447	2,844,476	503,560	139,571	2,533
Mississippi	5,020	1,191,774	210,894	104,015	34,730
Missouri	0	1,504,907	60,555	54,385	15,275
Montana	7,985,092	17,151,047	639,785	1,214,346	12,981
Nebraska	6,354	351,235	173,773	5,650	9,746
Nevada	47,782,464	5,759,160	2,345,956	774,751	3,019,170
New Hampshire	0	748,134	34,307	13,211	3,066
New Jersey	0	0	72,823	35,362	71,189
New Mexico	13,454,702	9,311,527	331,919	376,883	3,506,459
New York	0	16,352	28,768	33,703	25,767
North Carolina	0	1,254,557	420,068	363,483	391,233
North Dakota	58,970	1,103,162	487,941	71,258	15,280
Ohio	0	244,368	8,708	20,129	32,436
Oklahoma	1,975	400,146	106,728	10,008	182,508
Oregon	16,142,471	15,674,661	573,416	192,127	31,510
Pennsylvania	0	513,889	10,263	51,220	41,967
Rhode Island	0	0	2,415	5	2,738
South Carolina	0	630,991	127,657	31,972	55,800
South Dakota	274,522	2,006,319	206,498	147,028	8,234
Tennessee	0	718,674	54,093	358,797	141,611
Texas	11,833	756,910	547,117	1,204,897	477,523
Utah	22,853,486	8,187,926	109,805	2,097,756	953,947
Vermont	0	409,591	34,116	9,836	11,101
Virginia	805	1,662,875	130,188	304,825	415,903
Washington	429,083	9,323,705	150,024	1,834,543	438,938
West Virginia	0	1,045,855	19,796	65,071	2,866
Wisconsin	2,324	1,523,487	201,742	61,744	3,803
Wyoming	18,375,734	9,214,708	70,677	2,344,972	7,128
U.S. Total	247,252,228	192,932,426	89,080,785	79,648,788	14,399,704
